M,L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5
16,8.5,11,7,JJA,27.475916666666688,0.19884922005747235
17,8.5,11,7,JJA,27.46231333333336,0.19500443154023026
18,8.5,11,7,JJA,27.472726666666688,0.38530377167816615
19,8.5,11,7,JJA,27.68149666666669,0.39068005550574847
20,8.5,11,7,JJA,27.52561666666668,0.34334306488505056
1,8.5,12,8,JAS,27.065140000000024,0.1863379962758593
2,8.5,12,8,JAS,27.10398666666669,0.23004888533333132
3,8.5,12,8,JAS,27.096846666666693,0.28039084257471386
4,8.5,12,8,JAS,27.139550000000025,0.21873451637931376
5,8.5,12,8,JAS,27.15166666666669,0.25789775471263765
6,8.5,12,8,JAS,27.077570000000023,0.28948518700000175
7,8.5,12,8,JAS,27.109160000000028,0.2059816914482784
8,8.5,12,8,JAS,27.03853333333335,0.20780876229885067
9,8.5,12,8,JAS,27.154373333333357,0.2541622047816075
10,8.5,12,8,JAS,27.130026666666684,0.1624434765057458
11,8.5,12,8,JAS,27.091723333333356,0.21189592254023337
12,8.5,12,8,JAS,27.023823333333358,0.21605898185057318
13,8.5,12,8,JAS,27.061436666666687,0.17093740033333482
14,8.5,12,8,JAS,27.109353333333356,0.2227102053333338
15,8.5,12,8,JAS,27.100180000000027,0.2876411554482797
16,8.5,12,8,JAS,27.163260000000026,0.3458942707586182
17,8.5,12,8,JAS,27.030470000000022,0.27183512286206946
18,8.5,12,8,JAS,27.09905000000002,0.36437698672413804
19,8.5,12,8,JAS,27.180780000000027,0.2577908885517245
20,8.5,12,8,JAS,27.103126666666686,0.27011953167816344
1,9.5,1,10,SON,27.026763333333353,0.421132377574715
2,9.5,1,10,SON,26.925093333333354,0.23654921236781615
3,9.5,1,10,SON,27.015473333333357,0.22199404133333406
4,9.5,1,10,SON,26.887620000000023,0.3998095747586208
5,9.5,1,10,SON,27.005516666666697,0.36403546764367306
6,9.5,1,10,SON,26.860163333333357,0.28031410102298926
7,9.5,1,10,SON,26.905256666666688,0.3095307004712678
8,9.5,1,10,SON,26.89883333333335,0.3230617174712655
9,9.5,1,10,SON,26.985620000000026,0.3769351954482786
10,9.5,1,10,SON,26.897090000000016,0.350152304379307
11,9.5,1,10,SON,26.80796666666669,0.2331952029885077
12,9.5,1,10,SON,26.90240000000002,0.2655866579310318
13,9.5,1,10,SON,26.85834000000002,0.22849809144827757
14,9.5,1,10,SON,26.925616666666695,0.4357057586781663
15,9.5,1,10,SON,26.899523333333356,0.2853477218505769
16,9.5,1,10,SON,26.844053333333353,0.3723081660229871
17,9.5,1,10,SON,26.940793333333357,0.40830995719540086
18,9.5,1,10,SON,26.907340000000023,0.3046783286896534
19,9.5,1,10,SON,26.969260000000023,0.24744567627586184
20,9.5,1,10,SON,26.96082000000002,0.2549718416551677
1,9.5,2,11,OND,26.97080666666669,0.36365478616092295
2,9.5,2,11,OND,26.90215000000002,0.2818673694827621
3,9.5,2,11,OND,26.891193333333355,0.34289342478160634
4,9.5,2,11,OND,26.946150000000024,0.4262231694827604
5,9.5,2,11,OND,26.83101333333336,0.29144052809195015
6,9.5,2,11,OND,27.01989333333335,0.4975221571954054
7,9.5,2,11,OND,26.920206666666687,0.367268458574716
8,9.5,2,11,OND,26.893830000000026,0.38336442217241223
9,9.5,2,11,OND,27.000193333333353,0.4449285992643624
10,9.5,2,11,OND,26.84111666666669,0.3625805966091929
11,9.5,2,11,OND,26.88612333333335,0.39757758598850934
