M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
5,6.5,2,8,JAS,25.734913,1.460830038573446
6,6.5,2,8,JAS,25.71153233333333,1.4557187244736753
7,6.5,2,8,JAS,25.627435,1.6934647685293127
8,6.5,2,8,JAS,25.703116,1.5182619638041392
9,6.5,2,8,JAS,25.762473333333332,1.6409589515678153
10,6.5,2,8,JAS,25.755343666666665,1.6738706170860906
1,6.5,3,9,ASO,25.256002333333335,2.22104317201161
2,6.5,3,9,ASO,25.223813,2.086882100738969
3,6.5,3,9,ASO,25.079917333333334,1.8368620456133349
4,6.5,3,9,ASO,25.308507333333335,2.639849760599543
5,6.5,3,9,ASO,25.100717666666664,2.0117606437978104
6,6.5,3,9,ASO,25.112531666666666,2.5736824678695376
7,6.5,3,9,ASO,25.337373333333336,1.9411485900229868
8,6.5,3,9,ASO,25.40580633333333,2.474892436175741
9,6.5,3,9,ASO,25.191876666666666,2.090313921719541
10,6.5,3,9,ASO,24.990347666666665,1.5592020302598846
1,6.5,4,10,SON,25.002506666666665,2.430931169105746
2,6.5,4,10,SON,25.007528666666666,2.693932486322293
3,6.5,4,10,SON,25.008956,2.164840460535172
4,6.5,4,10,SON,25.155152333333334,2.1301514648116084
5,6.5,4,10,SON,24.975540333333335,1.9570766088240223
6,6.5,4,10,SON,24.95511533333333,2.5982517826947125
7,6.5,4,10,SON,25.054897333333333,2.1856918782753985
8,6.5,4,10,SON,25.293891666666664,2.233794227986781
9,6.5,4,10,SON,24.931669,2.548156071574826
10,6.5,4,10,SON,24.884394333333333,1.6773472133633343
1,6.5,5,11,OND,25.049250333333337,2.7469713499136783
2,6.5,5,11,OND,24.905309666666664,2.518648390327471
3,6.5,5,11,OND,24.929027666666666,2.302975915418505
4,6.5,5,11,OND,24.957645,2.888261060867241
5,6.5,5,11,OND,24.916931666666663,2.7145003258350586
6,6.5,5,11,OND,24.987590666666666,2.625782934034027
7,6.5,5,11,OND,24.903315,2.162932460156894
8,6.5,5,11,OND,25.037487666666667,3.125406139756441
9,6.5,5,11,OND,24.743941,2.59655081191276
10,6.5,5,11,OND,24.83393166666667,2.69312761965575
1,6.5,6,12,NDJ,25.122587,2.8925826591527564
2,6.5,6,12,NDJ,25.085139,2.501713802236898
3,6.5,6,12,NDJ,25.138139333333335,2.0443221318271263
4,6.5,6,12,NDJ,25.18740366666667,2.59130000756885
5,6.5,6,12,NDJ,25.03738333333333,2.140399110050575
6,6.5,6,12,NDJ,24.979995,2.434364019025862
7,6.5,6,12,NDJ,25.26057266666667,2.489390817647816
8,6.5,6,12,NDJ,25.262795666666666,2.5995168830874738
9,6.5,6,12,NDJ,25.068736,2.585177525942073
10,6.5,6,12,NDJ,25.314249,2.785998954167936
1,6.5,7,1,DJF,25.667421333333333,2.1508998741705754
2,6.5,7,1,DJF,25.845875666666664,2.045770357666781
3,6.5,7,1,DJF,25.722100333333334,2.2420601899895414
4,6.5,7,1,DJF,25.804240333333333,2.378373540286097
5,6.5,7,1,DJF,25.585124666666665,2.3799384761360924
6,6.5,7,1,DJF,25.692076333333333,2.165471716561958
7,6.5,7,1,DJF,25.787693,2.597575689380344
8,6.5,7,1,DJF,25.819779666666665,2.7983871145136807
9,6.5,7,1,DJF,25.647133333333333,2.7967531620229864
10,6.5,7,1,DJF,25.57383433333333,2.2829407279081635
1,6.5,8,2,JFM,25.929838333333336,1.809880228221267
2,6.5,8,2,JFM,26.021942333333335,1.9499623621426445
3,6.5,8,2,JFM,26.133121666666668,1.723048905517816
4,6.5,8,2,JFM,26.07623,1.7125712197999983
5,6.5,8,2,JFM,25.912855333333333,1.5479952425774728
6,6.5,8,2,JFM,26.116636333333336,1.6618793923067854
7,6.5,8,2,JFM,26.246133666666665,2.000482764913679
8,6.5,8,2,JFM,26.126060666666667,1.8149134905857476
9,6.5,8,2,JFM,26.016933333333334,1.9058121198505746
10,6.5,8,2,JFM,26.009370333333333,1.637979567803333
1,6.5,9,3,FMA,26.584282666666663,1.2287345921374717
2,6.5,9,3,FMA,26.718369,1.1849409360575869
3,6.5,9,3,FMA,26.706212999999998,1.3196651254906917
4,6.5,9,3,FMA,26.809339333333334,1.3373054522754027
5,6.5,9,3,FMA,26.699491000000002,1.3322156272782752
6,6.5,9,3,FMA,26.690326333333335,1.219188270086092
7,6.5,9,3,FMA,26.927554666666666,1.4408100069912617
8,6.5,9,3,FMA,26.923442333333334,1.1798003748254005
9,6.5,9,3,FMA,26.812329,1.3631274205058634
10,6.5,9,3,FMA,26.851936333333335,1.4366079693688505
1,6.5,10,4,MAM,27.21799533333333,0.9581293816326434
2,6.5,10,4,MAM,27.319628333333334,0.8003673885660911
3,6.5,10,4,MAM,27.246971,0.9000667464368953
4,6.5,10,4,MAM,27.41454333333333,0.6830255527126434
5,6.5,10,4,MAM,27.377778,0.9491511363682763
6,6.5,10,4,MAM,27.104282,0.87480244738207
7,6.5,10,4,MAM,27.34475666666667,0.8214411537195394
8,6.5,10,4,MAM,27.36029166666667,0.9218537981040231
9,6.5,10,4,MAM,27.23876166666667,0.8530990711454023
10,6.5,10,4,MAM,27.270584666666664,1.0218310798326422
1,6.5,11,5,AMJ,27.579454,0.7118548258317241
2,6.5,11,5,AMJ,27.602595333333333,0.7738039108671263
3,6.5,11,5,AMJ,27.60560566666667,0.8236948202185068
4,6.5,11,5,AMJ,27.64941866666667,0.7358890516740226
5,6.5,11,5,AMJ,27.726600666666666,0.6634118120891961
6,6.5,11,5,AMJ,27.534411666666667,0.6023375350488493
7,6.5,11,5,AMJ,27.614695333333334,0.8089139748464361
8,6.5,11,5,AMJ,27.566395,1.0190792303224137
