L,MON,LDC_SST_NCEP_CFSv2,LDC_SST_NCEP_CFSv2_ONETWO,LDC_SST_NCEP_CFSv2_THREE,LDC_SST_NCEP_CFSv2_FOUR
5.5,0000 1 Jan 1994,27.37486,23.93507,26.16062,28.67022
6.5,0000 1 Jan 1994,26.70774,23.18684,25.35647,28.39063
7.5,0000 1 Jan 1994,26.02817,22.81669,24.70057,28.00551
8.5,0000 1 Jan 1994,25.61512,22.7131,24.36773,27.76464
1.5,0000 1 Feb 1994,26.70869,26.01258,26.08555,28.08397
2.5,0000 1 Feb 1994,27.20465,25.50443,26.45227,28.38821
3.5,0000 1 Feb 1994,27.52887,24.55745,26.50325,28.71025
4.5,0000 1 Feb 1994,27.3188,23.63862,26.06244,28.71132
5.5,0000 1 Feb 1994,26.65403,23.00482,25.30232,28.37196
6.5,0000 1 Feb 1994,26.01277,22.66289,24.67022,27.97734
7.5,0000 1 Feb 1994,25.691,22.58316,24.3986,27.79388
8.5,0000 1 Feb 1994,25.74279,22.86754,24.43808,27.89114
1.5,0000 1 Mar 1994,27.15307,25.08135,26.30823,28.38578
2.5,0000 1 Mar 1994,27.3455,23.99237,26.20358,28.67194
3.5,0000 1 Mar 1994,27.14223,23.08936,25.74757,28.66342
4.5,0000 1 Mar 1994,26.49791,22.65538,25.05652,28.32492
5.5,0000 1 Mar 1994,25.86877,22.50835,24.50258,27.93583
6.5,0000 1 Mar 1994,25.5499,22.54577,24.30146,27.71968
7.5,0000 1 Mar 1994,25.6551,22.91178,24.43318,27.80347
8.5,0000 1 Mar 1994,26.01039,23.57513,24.74827,28.04109
1.5,0000 1 Apr 1994,27.73891,23.73758,26.44603,29.09997
2.5,0000 1 Apr 1994,27.43033,23.15535,25.95077,29.0568
3.5,0000 1 Apr 1994,26.76096,22.93369,25.31301,28.66709
4.5,0000 1 Apr 1994,26.16736,22.78521,24.80149,28.27356
5.5,0000 1 Apr 1994,25.90413,22.83023,24.63044,28.09576
6.5,0000 1 Apr 1994,25.96975,23.13815,24.74615,28.1431
7.5,0000 1 Apr 1994,26.28235,23.76365,25.03795,28.30856
8.5,0000 1 Apr 1994,26.67457,24.7938,25.4744,28.42917
1.5,0000 1 May 1994,27.15582,22.9367,25.69547,28.76548
2.5,0000 1 May 1994,26.38802,22.57428,24.92158,28.34035
3.5,0000 1 May 1994,25.74245,22.38971,24.37375,27.89792
4.5,0000 1 May 1994,25.4527,22.45229,24.20829,27.68126
5.5,0000 1 May 1994,25.52035,22.78162,24.3136,27.78394
6.5,0000 1 May 1994,25.8208,23.4255,24.58908,28.04649
7.5,0000 1 May 1994,26.26385,24.45572,25.03957,28.30562
8.5,0000 1 May 1994,26.64751,25.75288,25.65508,28.32807
1.5,0000 1 Jun 1994,26.44228,22.52788,24.95522,28.34748
2.5,0000 1 Jun 1994,25.67067,22.26978,24.21589,27.91796
3.5,0000 1 Jun 1994,25.26321,22.28722,23.93414,27.62293
4.5,0000 1 Jun 1994,25.26442,22.65406,24.062,27.6325
5.5,0000 1 Jun 1994,25.53318,23.30389,24.33404,27.86913
6.5,0000 1 Jun 1994,25.89042,24.31952,24.74228,28.14688
7.5,0000 1 Jun 1994,26.214,25.58101,25.29922,28.20627
8.5,0000 1 Jun 1994,26.45605,26.81552,25.99827,28.07417
1.5,0000 1 Jul 1994,25.87208,22.25715,24.27996,28.23989
2.5,0000 1 Jul 1994,25.38283,22.39877,23.98998,27.89296
3.5,0000 1 Jul 1994,25.44703,22.73556,24.16828,27.92542
4.5,0000 1 Jul 1994,25.83496,23.43179,24.54719,28.14705
5.5,0000 1 Jul 1994,26.30349,24.50246,25.0677,28.36621
6.5,0000 1 Jul 1994,26.71036,25.85105,25.69606,28.40772
7.5,0000 1 Jul 1994,26.97201,27.09125,26.40697,28.30773
8.5,0000 1 Jul 1994,27.25706,27.78672,27.10483,28.27028
1.5,0000 1 Aug 1994,25.82304,22.2683,24.169,28.35314
2.5,0000 1 Aug 1994,25.55468,22.80114,24.15595,28.1601
3.5,0000 1 Aug 1994,25.84336,23.43656,24.44655,28.33785
4.5,0000 1 Aug 1994,26.3242,24.39525,24.96278,28.5069
5.5,0000 1 Aug 1994,26.7631,25.69186,25.62318,28.5594
6.5,0000 1 Aug 1994,27.02424,26.93203,26.34149,28.41198
7.5,0000 1 Aug 1994,27.31049,27.69964,27.03467,28.36077
8.5,0000 1 Aug 1994,27.7245,27.62732,27.59693,28.48854
1.5,0000 1 Sep 1994,26.35785,22.83206,24.72269,28.76513
2.5,0000 1 Sep 1994,26.4657,23.71625,24.94471,28.74402
3.5,0000 1 Sep 1994,26.86631,24.68709,25.39433,28.83785
4.5,0000 1 Sep 1994,27.23319,25.88169,26.01445,28.78722
5.5,0000 1 Sep 1994,27.47744,27.09497,26.71494,28.64843
6.5,0000 1 Sep 1994,27.71263,27.81944,27.39414,28.57521
7.5,0000 1 Sep 1994,28.11385,27.72135,27.95286,28.7118
8.5,0000 1 Sep 1994,28.40276,26.71165,27.93979,28.96574
1.5,0000 1 Oct 1994,27.08003,24.11387,25.56378,29.04596
2.5,0000 1 Oct 1994,27.28755,25.28696,25.91617,29.01141
3.5,0000 1 Oct 1994,27.48947,26.36522,26.4245,28.86189
4.5,0000 1 Oct 1994,27.57984,27.36099,27.00772,28.60343
5.5,0000 1 Oct 1994,27.71109,27.96711,27.58051,28.44696
6.5,0000 1 Oct 1994,28.05773,27.75347,28.02934,28.54729
7.5,0000 1 Oct 1994,28.31001,26.66775,27.92122,28.80751
8.5,0000 1 Oct 1994,27.94484,25.13514,27.05598,28.84146
1.5,0000 1 Nov 1994,27.74403,25.23203,26.27937,29.26878
2.5,0000 1 Nov 1994,27.80172,26.4792,26.65698,29.03816
3.5,0000 1 Nov 1994,27.85682,27.4592,27.19231,28.78187
4.5,0000 1 Nov 1994,27.99756,28.05658,27.78582,28.67925
5.5,0000 1 Nov 1994,28.33608,27.801,28.21999,28.80558
6.5,0000 1 Nov 1994,28.52802,26.62645,28.03274,29.04444
7.5,0000 1 Nov 1994,28.05629,25.05883,27.08787,28.97042
