M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
4,5.5,6,11,OND,25.945983333333334,2.002369936416092
5,5.5,6,11,OND,25.708424333333333,1.4510285955633344
6,5.5,6,11,OND,25.752725,2.201016312963791
7,5.5,6,11,OND,25.896838666666667,1.7487002200119564
8,5.5,6,11,OND,25.812061333333336,1.7340788272326486
9,5.5,6,11,OND,25.68072,1.642928060027584
10,5.5,6,11,OND,25.789262,1.7800069578303401
11,5.5,6,11,OND,25.716058333333333,2.006924829779883
12,5.5,6,11,OND,25.810145,1.981385742598276
13,5.5,6,11,OND,25.632417666666665,1.7986198641288538
14,5.5,6,11,OND,25.636527,1.9414404003527557
15,5.5,6,11,OND,25.742686,1.839359618466205
16,5.5,6,11,OND,25.65533333333333,1.7418350966712661
17,5.5,6,11,OND,25.661269333333333,2.2257456177029864
18,5.5,6,11,OND,25.702432333333334,1.9849465623633362
19,5.5,6,11,OND,25.596004333333333,2.0746542353633317
20,5.5,6,11,OND,25.691913666666665,1.5887784489964365
21,5.5,6,11,OND,25.779010000000003,2.313743301572417
22,5.5,6,11,OND,25.650196333333334,2.3279718795481625
23,5.5,6,11,OND,25.684864,2.571991019562759
24,5.5,6,11,OND,25.629016999999997,2.1971777176562055
1,5.5,7,12,NDJ,26.402004666666667,2.06977641056368
2,5.5,7,12,NDJ,26.303545666666665,2.120021374128848
3,5.5,7,12,NDJ,26.389175333333334,1.9678867798464352
4,5.5,7,12,NDJ,26.195207999999997,2.104760160416554
5,5.5,7,12,NDJ,26.328435000000002,2.387114035177586
6,5.5,7,12,NDJ,26.42553333333333,2.3513499828712665
7,5.5,7,12,NDJ,26.228251333333333,1.8702857290050592
8,5.5,7,12,NDJ,26.458282333333333,2.28429112065299
9,5.5,7,12,NDJ,26.244896,2.096426881624828
10,5.5,7,12,NDJ,26.296289333333334,2.1485376766064372
11,5.5,7,12,NDJ,26.224464666666666,2.343396520894711
12,5.5,7,12,NDJ,26.21625733333333,1.8658926061512648
13,5.5,7,12,NDJ,26.260739666666666,1.9368014689688509
14,5.5,7,12,NDJ,26.407351333333335,1.7243215087085064
