L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
10.5,0000 1 Feb 1993,299.7025,298.0074,298.6568,301.7559
1.5,0000 1 Mar 1993,301.5414,300.3953,301.1167,302.272
2.5,0000 1 Mar 1993,301.6745,299.5269,300.8411,302.4759
3.5,0000 1 Mar 1993,301.3363,298.3437,300.0716,302.4783
4.5,0000 1 Mar 1993,300.8001,297.3645,299.2617,302.3629
5.5,0000 1 Mar 1993,300.3026,296.7388,298.6534,302.2419
6.5,0000 1 Mar 1993,299.9998,296.5357,298.3869,302.1824
7.5,0000 1 Mar 1993,299.8526,296.7174,298.3682,302.1099
8.5,0000 1 Mar 1993,299.6951,297.1816,298.4111,301.9009
9.5,0000 1 Mar 1993,299.4911,297.9207,298.5041,301.536
10.5,0000 1 Mar 1993,299.3851,298.8572,298.7288,301.1638
1.5,0000 1 Apr 1993,301.5268,299.8539,300.9724,302.2384
2.5,0000 1 Apr 1993,301.1338,298.7191,300.0921,302.2707
3.5,0000 1 Apr 1993,300.5468,297.6454,299.1364,302.1995
4.5,0000 1 Apr 1993,300.0224,296.9135,298.4748,302.1035
5.5,0000 1 Apr 1993,299.709,296.5922,298.1951,302.001
6.5,0000 1 Apr 1993,299.5638,296.695,298.1753,301.8832
7.5,0000 1 Apr 1993,299.4139,297.1423,298.2218,301.6409
8.5,0000 1 Apr 1993,299.2336,297.9111,298.347,301.2905
9.5,0000 1 Apr 1993,299.1908,298.8885,298.6888,300.9475
10.5,0000 1 Apr 1993,299.4633,299.7842,299.2378,300.856
1.5,0000 1 May 1993,301.1171,298.7169,300.2382,302.2062
2.5,0000 1 May 1993,300.5463,297.8836,299.3506,302.1622
3.5,0000 1 May 1993,300.0831,297.1881,298.726,302.0976
4.5,0000 1 May 1993,299.8499,296.9046,298.4861,302.0468
5.5,0000 1 May 1993,299.7662,297.0252,298.4773,301.9677
6.5,0000 1 May 1993,299.6519,297.4598,298.471,301.7776
7.5,0000 1 May 1993,299.4529,298.1605,298.5196,301.4116
8.5,0000 1 May 1993,299.359,299.0658,298.7705,301.0634
9.5,0000 1 May 1993,299.5603,299.94,299.3145,300.9048
10.5,0000 1 May 1993,300.0637,300.3511,299.958,301.0945
1.5,0000 1 Jun 1993,300.6116,297.5479,299.4112,302.2483
2.5,0000 1 Jun 1993,300.0693,297.1639,298.7705,302.1394
3.5,0000 1 Jun 1993,299.841,296.9669,298.5259,302.0793
4.5,0000 1 Jun 1993,299.8124,297.0684,298.5336,302.036
5.5,0000 1 Jun 1993,299.7789,297.4697,298.6213,301.9035
6.5,0000 1 Jun 1993,299.6576,298.165,298.7425,301.5744
7.5,0000 1 Jun 1993,299.6126,299.0738,299.0269,301.2273
8.5,0000 1 Jun 1993,299.8038,299.8849,299.4735,301.1124
9.5,0000 1 Jun 1993,300.2788,300.2332,300.0491,301.3197
10.5,0000 1 Jun 1993,300.7023,299.7801,300.263,301.6955
1.5,0000 1 Jul 1993,300.2847,296.6833,298.839,302.359
2.5,0000 1 Jul 1993,299.9658,296.7207,298.5291,302.2756
3.5,0000 1 Jul 1993,299.83,296.943,298.4847,302.1266
4.5,0000 1 Jul 1993,299.6949,297.388,298.5182,301.8352
5.5,0000 1 Jul 1993,299.4754,298.0816,298.5815,301.4394
6.5,0000 1 Jul 1993,299.3727,298.9813,298.8374,301.0634
7.5,0000 1 Jul 1993,299.5643,299.8202,299.3064,300.9182
8.5,0000 1 Jul 1993,300.0419,300.1775,299.8572,301.1061
9.5,0000 1 Jul 1993,300.4763,299.6852,300.0458,301.4643
10.5,0000 1 Jul 1993,300.6489,298.6365,299.8327,301.7618
1.5,0000 1 Aug 1993,299.925,296.1375,298.3827,302.262
2.5,0000 1 Aug 1993,299.8166,296.6228,298.3525,302.2433
3.5,0000 1 Aug 1993,299.6812,297.1868,298.3679,302.0334
4.5,0000 1 Aug 1993,299.4846,297.9305,298.4634,301.6768
5.5,0000 1 Aug 1993,299.4132,298.8953,298.7973,301.2835
6.5,0000 1 Aug 1993,299.6278,299.8225,299.367,301.1156
7.5,0000 1 Aug 1993,300.1108,300.2724,299.9545,301.2694
8.5,0000 1 Aug 1993,300.5296,299.8764,300.154,301.5985
9.5,0000 1 Aug 1993,300.6928,298.8349,299.9121,301.8403
10.5,0000 1 Aug 1993,300.5467,297.617,299.3435,301.9261
1.5,0000 1 Sep 1993,299.821,296.169,298.2765,302.2583
2.5,0000 1 Sep 1993,299.5628,296.9007,298.2283,302.0052
3.5,0000 1 Sep 1993,299.2827,297.7516,298.2898,301.5669
4.5,0000 1 Sep 1993,299.1636,298.7637,298.6193,301.1345
5.5,0000 1 Sep 1993,299.3792,299.6724,299.2064,300.9019
6.5,0000 1 Sep 1993,299.9052,300.0584,299.8576,301.0265
7.5,0000 1 Sep 1993,300.3915,299.6242,300.0878,301.3665
