L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR,MEAN_SST_GFDL_SPEAR_ONETWO,VAR_SST_GFDL_SPEAR_ONETWO,MEAN_SST_GFDL_SPEAR_THREE,VAR_SST_GFDL_SPEAR_THREE,MEAN_SST_GFDL_SPEAR_FOUR,VAR_SST_GFDL_SPEAR_FOUR
7.5,2,9,ASO,26.060014,0.5509498637023528,20.983150333333334,0.633269438892989,24.591525,0.348842508274138,27.936968333333333,0.4049323233385057
7.5,3,10,SON,26.140955333333338,0.6467496115909654,21.30948833333333,0.6880085625522981,24.739695666666663,0.4478970697357483,27.984456333333338,0.4528015753619539
7.5,4,11,OND,26.199457,0.9435228415351877,21.938636,0.5666907931075859,24.883473666666667,0.6124615374378166,27.999054666666662,0.6386472403154023
7.5,5,12,NDJ,26.141587666666663,1.2960054676309964,23.088093,0.5456866550217245,25.038519333333333,0.8447630153788492,27.879411,0.8867458793541366
7.5,6,1,DJF,26.00406233333333,1.2039517102555173,24.580045,0.3531054075086221,25.313879,0.8002490268506894,27.616131666666668,0.8801042301867822
7.5,7,2,JFM,26.270145666666668,0.9840941013886587,25.87762766666667,0.1980224650874703,25.949626,0.6747556798455189,27.672304666666665,0.7674942905843676
7.5,8,3,FMA,26.805347666666663,0.6750592825570585,26.248306666666668,0.2983548449057485,26.639513333333333,0.5933793739678154,27.937602333333334,0.4359161864460935
7.5,9,4,MAM,27.284467333333335,0.45334209297884315,25.409158333333338,0.2555743656833338,26.904147666666667,0.3817235021702307,28.26031533333333,0.2725079442947144
7.5,10,5,AMJ,27.433981000000003,0.36450144594631445,24.031268333333333,0.3991194022695408,26.656941,0.2961065664299999,28.471743333333333,0.2281079957678155
7.5,11,6,MJJ,27.139940333333335,0.3463430680331646,22.711137,0.4183082042286212,25.956880666666667,0.2705787484616091,28.459642666666664,0.2071879067098855
7.5,12,7,JJA,26.582389,0.3624253054466895,21.779918,0.4161084324924132,25.194757,0.251510579463103,28.21558333333333,0.2033115566919535
8.5,1,9,ASO,26.076197333333333,0.4961974534971188,21.00098,0.5779578254827599,24.614859333333335,0.3231551006133332,27.951604,0.2974759907903445
8.5,2,10,SON,26.064977666666667,0.6951105577074332,21.196449,0.5555789751748271,24.648685666666665,0.3963520996460914,27.919213333333335,0.4913184704091971
8.5,3,11,OND,26.120578,0.8407519347709579,21.971143,0.5868317880699998,24.828787666666667,0.5285232383357484,27.917624,0.5584446565696549
8.5,4,12,NDJ,26.09437266666667,1.109829991402046,23.099858333333337,0.4487202885247131,25.029585333333333,0.6713271816602295,27.818733666666667,0.7235039505757481
8.5,5,1,DJF,26.079491333333333,1.2545544727579385,24.598387333333335,0.3592313609236779,25.385525,0.7668000907431041,27.684562666666668,0.866159255861608
8.5,6,2,JFM,26.206708,0.9546137637948049,25.891465666666665,0.2236556730736784,25.915465333333337,0.635773552149885,27.602520333333334,0.7015066418033332
8.5,7,3,FMA,26.736015,0.71616488670774,26.265458333333335,0.204157707648851,26.588418666666666,0.5397473132326464,27.870782666666667,0.5227293856340234
8.5,8,4,MAM,27.243715666666667,0.5079593164114198,25.476865333333333,0.4547508962464371,26.889021666666668,0.4811937682695399,28.219924666666667,0.3092430567291955
8.5,9,5,AMJ,27.40414566666667,0.37195581563219166,24.05890833333333,0.3419914251454009,26.62906333333333,0.2846436304091955,28.446124333333337,0.2259346053771264
8.5,10,6,MJJ,27.104795666666668,0.3732111282717621,22.711391,0.4146117526506902,25.928055333333337,0.2588778447774724,28.431972,0.2203604534924146
8.5,11,7,JJA,26.592778333333335,0.38367894677406117,21.691260333333332,0.3798188353205762,25.177326333333333,0.2513959829757468,28.241003666666664,0.2142242866378144
8.5,12,8,JAS,26.135664333333334,0.41837781137088187,21.063049333333332,0.4030052863857472,24.652968333333337,0.2592172674074718,27.97026966666667,0.225811674775747
9.5,1,10,SON,26.084200666666668,0.6503760333252483,21.240261,0.5116204885955181,24.677871333333332,0.3730680736740228,27.928752333333332,0.3733802804460916
9.5,2,11,OND,26.039394666666663,0.9092236442394326,21.878869666666667,0.4915811268791945,24.738114333333332,0.4855797901909202,27.852715666666665,0.6040500506736773
9.5,3,12,NDJ,26.019044,1.000477603108123,23.10729566666667,0.4977943358322975,24.98189,0.6013147272965506,27.731397666666663,0.6314809562323006
9.5,4,1,DJF,26.04509566666667,1.0752342147714253,24.60024866666667,0.2939200256809203,25.385359333333337,0.6137164382202301,27.629277333333334,0.711363014502989
9.5,5,2,JFM,26.271560333333333,1.025849782279502,25.881001,0.2260863780920682,25.969122666666667,0.6244369783926416,27.662935333333333,0.7042534213360906
9.5,6,3,FMA,26.688980333333333,0.7218818107911955,26.284884,0.2139449785075864,26.562427666666668,0.5232074073357481,27.813127666666663,0.4921462992805747
9.5,7,4,MAM,27.187251333333332,0.5537992321247661,25.51134,0.3302601975034481,26.841684333333333,0.4801637673702313,28.173836333333337,0.3566491339619522
9.5,8,5,AMJ,27.38062,0.4141011935268047,24.163493333333335,0.5806996556022994,26.638804666666665,0.3830517723498854,28.40688833333333,0.2549433960833349
9.5,9,6,MJJ,27.082081333333335,0.3620952190790115,22.73841666666667,0.340199658719539,25.907362666666664,0.234540081558162,28.409478999999997,0.2163501990437926
9.5,10,7,JJA,26.565858,0.4196075440950653,21.700741,0.4034795660713806,25.156394666666664,0.2483735067567798,28.212153,0.2226509901182748
9.5,11,8,JAS,26.142253666666665,0.43463134363884287,21.007121,0.3542854442231036,24.640508666666666,0.2435425051636786,28.003154666666667,0.22049201039816
9.5,12,9,ASO,25.946291666666664,0.4815601141144363,20.819850666666664,0.3704565651236776,24.465477333333336,0.2612026857029889,27.848244666666663,0.2583636647981603
10.5,1,11,OND,26.061926000000003,0.8493879672702297,21.919244,0.4464473631834481,24.76975633333333,0.4450240065067816,27.857664,0.4627866831903446
10.5,2,12,NDJ,25.94027833333333,1.0808864441927966,23.055835666666667,0.424708316701264,24.902113666666665,0.5680375277274701,27.67091333333333,0.6719555558781619
10.5,3,1,DJF,25.974931333333338,0.9918431294650726,24.578600333333338,0.3736535360309189,25.341862666666668,0.5822442971995405,27.542809666666663,0.6223746732585056
10.5,4,2,JFM,26.248850333333333,0.8740573245683372,25.87273,0.1933739857655168,25.978230666666665,0.5091885813719554,27.60991,0.5765073999862056
10.5,5,3,FMA,26.734322666666667,0.7610269012700919,26.247402,0.2079452305544833,26.594171333333335,0.5094155414878179,27.857717666666662,0.4895167143495401
10.5,6,4,MAM,27.148478,0.5836288440154863,25.54395,0.3209775735724153,26.81931,0.4677589964344816,28.127123666666662,0.3595417377343665
10.5,7,5,AMJ,27.33020966666667,0.4543487137350733,24.191797666666663,0.4377383898874701,26.589676666666666,0.3837381310574706,28.368302333333336,0.2836119342736781
10.5,8,6,MJJ,27.063225666666668,0.38027092817735725,22.834014000000003,0.50743935020414,25.913820333333337,0.2990969635412649,28.364218,0.2351329556855166
10.5,9,7,JJA,26.551078333333333,0.39534716238460527,21.726895333333335,0.307036852584368,25.141850666666667,0.2158585181374721,28.198871333333333,0.2167353029705749
10.5,10,8,JAS,26.115971,0.47612173377058187,21.025533333333332,0.3848222210367801,24.628546333333336,0.247013278582646,27.969410666666665,0.227539517668507
10.5,11,9,ASO,25.949336,0.5155026819624908,20.781225,0.3215449883293122,24.463252,0.2470433712303453,27.880232333333332,0.2397033706047115
10.5,12,10,SON,25.933563666666668,0.5942597456599924,21.074115666666668,0.3324808422805731,24.51741133333333,0.2830261404119535,27.80429366666667,0.3104672890998855
