L,MON,LDC_SST_GEM5_NEMO
9.5,0000 1 Apr 1995,296.6984
10.5,0000 1 Apr 1995,296.763
1.5,0000 1 May 1995,299.0789
2.5,0000 1 May 1995,298.1937
3.5,0000 1 May 1995,297.6098
4.5,0000 1 May 1995,297.3541
5.5,0000 1 May 1995,297.2725
6.5,0000 1 May 1995,297.2175
7.5,0000 1 May 1995,297.1534
8.5,0000 1 May 1995,297.106
9.5,0000 1 May 1995,297.1364
10.5,0000 1 May 1995,297.2506
1.5,0000 1 Jun 1995,298.737
2.5,0000 1 Jun 1995,297.967
3.5,0000 1 Jun 1995,297.6852
4.5,0000 1 Jun 1995,297.6621
5.5,0000 1 Jun 1995,297.6324
6.5,0000 1 Jun 1995,297.547
7.5,0000 1 Jun 1995,297.4878
8.5,0000 1 Jun 1995,297.5501
9.5,0000 1 Jun 1995,297.7121
10.5,0000 1 Jun 1995,297.8126
1.5,0000 1 Jul 1995,298.3594
2.5,0000 1 Jul 1995,297.8364
3.5,0000 1 Jul 1995,297.8509
4.5,0000 1 Jul 1995,297.8685
5.5,0000 1 Jul 1995,297.8092
6.5,0000 1 Jul 1995,297.7234
7.5,0000 1 Jul 1995,297.7367
8.5,0000 1 Jul 1995,297.8558
9.5,0000 1 Jul 1995,297.9348
10.5,0000 1 Jul 1995,297.8394
1.5,0000 1 Aug 1995,297.6029
2.5,0000 1 Aug 1995,297.239
3.5,0000 1 Aug 1995,297.2865
4.5,0000 1 Aug 1995,297.2346
5.5,0000 1 Aug 1995,297.1424
6.5,0000 1 Aug 1995,297.1588
7.5,0000 1 Aug 1995,297.2233
8.5,0000 1 Aug 1995,297.2978
9.5,0000 1 Aug 1995,297.2924
10.5,0000 1 Aug 1995,297.1117
1.5,0000 1 Sep 1995,297.6818
2.5,0000 1 Sep 1995,297.3342
3.5,0000 1 Sep 1995,297.2639
4.5,0000 1 Sep 1995,297.2288
5.5,0000 1 Sep 1995,297.2974
6.5,0000 1 Sep 1995,297.4837
7.5,0000 1 Sep 1995,297.5854
8.5,0000 1 Sep 1995,297.5563
9.5,0000 1 Sep 1995,297.2411
10.5,0000 1 Sep 1995,296.793
1.5,0000 1 Oct 1995,297.4765
2.5,0000 1 Oct 1995,297.128
3.5,0000 1 Oct 1995,297.014
4.5,0000 1 Oct 1995,296.9678
5.5,0000 1 Oct 1995,296.9388
6.5,0000 1 Oct 1995,296.9209
7.5,0000 1 Oct 1995,296.8223
8.5,0000 1 Oct 1995,296.5551
9.5,0000 1 Oct 1995,296.206
10.5,0000 1 Oct 1995,295.9426
1.5,0000 1 Nov 1995,297.5465
2.5,0000 1 Nov 1995,297.2238
3.5,0000 1 Nov 1995,297.1899
4.5,0000 1 Nov 1995,297.3082
5.5,0000 1 Nov 1995,297.3951
6.5,0000 1 Nov 1995,297.3706
7.5,0000 1 Nov 1995,297.0895
8.5,0000 1 Nov 1995,296.7056
9.5,0000 1 Nov 1995,296.3628
10.5,0000 1 Nov 1995,296.1909
1.5,0000 1 Dec 1995,297.9007
2.5,0000 1 Dec 1995,297.7686
3.5,0000 1 Dec 1995,297.8082
4.5,0000 1 Dec 1995,297.8766
5.5,0000 1 Dec 1995,297.8653
6.5,0000 1 Dec 1995,297.6292
7.5,0000 1 Dec 1995,297.201
8.5,0000 1 Dec 1995,296.7794
9.5,0000 1 Dec 1995,296.5445
10.5,0000 1 Dec 1995,296.4615
1.5,0000 1 Jan 1996,298.2121
2.5,0000 1 Jan 1996,298.1738
3.5,0000 1 Jan 1996,298.2433
4.5,0000 1 Jan 1996,298.2178
5.5,0000 1 Jan 1996,297.9543
6.5,0000 1 Jan 1996,297.5381
7.5,0000 1 Jan 1996,297.1714
8.5,0000 1 Jan 1996,296.9994
9.5,0000 1 Jan 1996,296.9594
10.5,0000 1 Jan 1996,296.9322
1.5,0000 1 Feb 1996,298.398
2.5,0000 1 Feb 1996,298.3342
3.5,0000 1 Feb 1996,298.2066
4.5,0000 1 Feb 1996,297.8868
5.5,0000 1 Feb 1996,297.4168
6.5,0000 1 Feb 1996,297.0527
7.5,0000 1 Feb 1996,296.8994
8.5,0000 1 Feb 1996,296.8841
9.5,0000 1 Feb 1996,296.9002
10.5,0000 1 Feb 1996,296.9406
1.5,0000 1 Mar 1996,298.9815
2.5,0000 1 Mar 1996,298.6686
3.5,0000 1 Mar 1996,298.1466
4.5,0000 1 Mar 1996,297.5411
5.5,0000 1 Mar 1996,297.028
6.5,0000 1 Mar 1996,296.782
7.5,0000 1 Mar 1996,296.6827
8.5,0000 1 Mar 1996,296.5785
9.5,0000 1 Mar 1996,296.5271
10.5,0000 1 Mar 1996,296.5453
1.5,0000 1 Apr 1996,299.2896
2.5,0000 1 Apr 1996,298.5042
3.5,0000 1 Apr 1996,297.7171
4.5,0000 1 Apr 1996,297.1985
5.5,0000 1 Apr 1996,296.931
6.5,0000 1 Apr 1996,296.8404
7.5,0000 1 Apr 1996,296.8096
8.5,0000 1 Apr 1996,296.8205
9.5,0000 1 Apr 1996,296.8869
10.5,0000 1 Apr 1996,297.0317
1.5,0000 1 May 1996,299.1019
2.5,0000 1 May 1996,298.172
3.5,0000 1 May 1996,297.4205
4.5,0000 1 May 1996,297.0707
5.5,0000 1 May 1996,297.037
6.5,0000 1 May 1996,297.0688
7.5,0000 1 May 1996,297.0997
8.5,0000 1 May 1996,297.1414
9.5,0000 1 May 1996,297.2629
10.5,0000 1 May 1996,297.4523
1.5,0000 1 Jun 1996,298.3491
