L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
1.5,0000 1 Jul 1993,299.0145,295.8468,298.839,301.4009
2.5,0000 1 Jul 1993,298.4081,295.8017,298.5291,300.912
3.5,0000 1 Jul 1993,298.2443,296.0658,298.4847,300.5654
4.5,0000 1 Jul 1993,298.1282,296.5003,298.5182,300.2789
5.5,0000 1 Jul 1993,297.9599,297.0877,298.5815,299.9506
6.5,0000 1 Jul 1993,297.8932,297.8145,298.8374,299.6111
7.5,0000 1 Jul 1993,297.9809,298.493,299.3064,299.3537
8.5,0000 1 Jul 1993,298.1227,298.6887,299.8572,299.2253
9.5,0000 1 Jul 1993,298.109,297.8907,300.0458,299.1866
10.5,0000 1 Jul 1993,297.8849,296.5781,299.8327,299.1288
1.5,0000 1 Aug 1993,298.9788,295.8292,298.3827,301.4261
2.5,0000 1 Aug 1993,298.613,296.2176,298.3525,301.0187
3.5,0000 1 Aug 1993,298.4273,296.568,298.3679,300.6809
4.5,0000 1 Aug 1993,298.2571,297.0552,298.4634,300.4131
5.5,0000 1 Aug 1993,298.1414,297.7914,298.7973,300.1005
6.5,0000 1 Aug 1993,298.1318,298.5026,299.367,299.7619
7.5,0000 1 Aug 1993,298.1551,298.6593,299.9545,299.4694
8.5,0000 1 Aug 1993,298.0531,297.7192,300.154,299.3024
9.5,0000 1 Aug 1993,297.7908,296.2402,299.9121,299.1967
10.5,0000 1 Aug 1993,297.3052,294.8697,299.3435,298.999
1.5,0000 1 Sep 1993,299.0819,295.9314,298.2765,301.4413
2.5,0000 1 Sep 1993,298.6632,296.6526,298.2283,300.9717
3.5,0000 1 Sep 1993,298.3728,297.2419,298.2898,300.5533
4.5,0000 1 Sep 1993,298.1801,297.894,298.6193,300.1142
5.5,0000 1 Sep 1993,298.0636,298.4934,299.2064,299.6964
6.5,0000 1 Sep 1993,298.0132,298.555,299.8576,299.4066
7.5,0000 1 Sep 1993,297.8748,297.6342,300.0878,299.261
8.5,0000 1 Sep 1993,297.6267,296.2323,299.8505,299.1573
9.5,0000 1 Sep 1993,297.1789,294.8867,299.2724,298.94
10.5,0000 1 Sep 1993,296.6098,294.0599,298.7476,298.5895
1.5,0000 1 Oct 1993,299.3411,296.3536,298.2639,301.5222
2.5,0000 1 Oct 1993,298.8653,297.1134,298.2806,301.0049
3.5,0000 1 Oct 1993,298.4886,297.8227,298.5466,300.4344
4.5,0000 1 Oct 1993,298.2257,298.3905,299.1024,299.9131
5.5,0000 1 Oct 1993,298.0317,298.506,299.6945,299.5357
6.5,0000 1 Oct 1993,297.8226,297.6211,299.8613,299.3496
7.5,0000 1 Oct 1993,297.5226,296.2027,299.5699,299.2065
8.5,0000 1 Oct 1993,297.075,294.8771,298.9709,298.9766
9.5,0000 1 Oct 1993,296.5311,294.0346,298.4467,298.627
10.5,0000 1 Oct 1993,296.0813,293.6564,298.1182,298.2415
1.5,0000 1 Nov 1993,299.0329,296.7258,298.6028,301.2769
2.5,0000 1 Nov 1993,298.4886,297.6261,298.7568,300.6092
3.5,0000 1 Nov 1993,298.1792,298.2977,299.1675,299.9875
4.5,0000 1 Nov 1993,297.977,298.3511,299.6417,299.5485
5.5,0000 1 Nov 1993,297.7537,297.3726,299.8072,299.3353
6.5,0000 1 Nov 1993,297.4536,295.8968,299.5471,299.2125
7.5,0000 1 Nov 1993,297.0011,294.6018,298.9702,298.967
8.5,0000 1 Nov 1993,296.4868,293.8629,298.4548,298.6034
9.5,0000 1 Nov 1993,296.0499,293.5832,298.1573,298.2201
10.5,0000 1 Nov 1993,295.8385,293.6561,298.0736,297.9326
1.5,0000 1 Dec 1993,298.8402,297.5834,298.7635,300.8822
2.5,0000 1 Dec 1993,298.3943,298.4085,299.0968,300.248
3.5,0000 1 Dec 1993,298.2389,298.4915,299.4805,299.8432
4.5,0000 1 Dec 1993,298.0609,297.5644,299.5787,299.6372
5.5,0000 1 Dec 1993,297.7665,296.0765,299.326,299.481
6.5,0000 1 Dec 1993,297.2628,294.758,298.7716,299.2295
7.5,0000 1 Dec 1993,296.7194,294.0227,298.2678,298.8284
8.5,0000 1 Dec 1993,296.2572,293.7433,297.9742,298.4226
9.5,0000 1 Dec 1993,296.0039,293.8583,297.9131,298.093
10.5,0000 1 Dec 1993,295.9124,294.3369,297.9776,297.8663
1.5,0000 1 Jan 1994,298.7837,298.3611,299.6861,300.591
2.5,0000 1 Jan 1994,298.4266,298.4326,300.1469,300.115
3.5,0000 1 Jan 1994,298.1937,297.5157,300.2158,299.9015
4.5,0000 1 Jan 1994,297.9401,296.1148,299.8438,299.7624
5.5,0000 1 Jan 1994,297.5346,294.8057,299.1814,299.5038
6.5,0000 1 Jan 1994,297.0394,294.0782,298.547,299.157
7.5,0000 1 Jan 1994,296.6206,293.7882,298.1343,298.8007
8.5,0000 1 Jan 1994,296.3684,293.9078,297.9619,298.5061
9.5,0000 1 Jan 1994,296.2472,294.3997,297.9723,298.2751
10.5,0000 1 Jan 1994,296.1576,295.0323,298.026,298.1299
1.5,0000 1 Feb 1994,299.0049,298.6101,300.2341,300.5768
2.5,0000 1 Feb 1994,298.6668,297.6194,300.3459,300.3403
3.5,0000 1 Feb 1994,298.3569,296.2557,300.0581,300.1936
4.5,0000 1 Feb 1994,297.9135,295.1,299.4577,299.9304
5.5,0000 1 Feb 1994,297.3685,294.3427,298.8921,299.5489
6.5,0000 1 Feb 1994,296.8585,293.9941,298.4573,299.1234
7.5,0000 1 Feb 1994,296.5456,294.0365,298.2585,298.7643
8.5,0000 1 Feb 1994,296.3854,294.5102,298.2818,298.4869
9.5,0000 1 Feb 1994,296.3015,295.1601,298.3668,298.3137
10.5,0000 1 Feb 1994,296.3123,296.037,298.5212,298.1959
1.5,0000 1 Mar 1994,299.3986,297.3279,300.4324,300.8656
2.5,0000 1 Mar 1994,298.8508,296.1272,300.0952,300.5685
