M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
10,2.5,11,1,DJF,26.390080666666666,0.8392397029029894
11,2.5,11,1,DJF,26.408898,0.8002337918924145
12,2.5,11,1,DJF,26.430343999999998,0.875928645038621
13,2.5,11,1,DJF,26.426830333333335,0.8834415791205746
14,2.5,11,1,DJF,26.444677000000002,0.8396069593320683
15,2.5,11,1,DJF,26.399319,0.8211508989886203
1,2.5,12,2,JFM,26.640397,0.6537895077665518
2,2.5,12,2,JFM,26.647830333333335,0.6591463529067825
3,2.5,12,2,JFM,26.684379666666665,0.6615941754722985
4,2.5,12,2,JFM,26.639262,0.5787903996372422
5,2.5,12,2,JFM,26.605547333333334,0.5999678915374712
6,2.5,12,2,JFM,26.562377,0.7424686809389656
7,2.5,12,2,JFM,26.633323,0.5829359393734488
8,2.5,12,2,JFM,26.636802333333332,0.59206779717023
9,2.5,12,2,JFM,26.629770333333333,0.6014600104378164
10,2.5,12,2,JFM,26.664151666666665,0.5953123390488502
11,2.5,12,2,JFM,26.638526333333335,0.5753897385826432
12,2.5,12,2,JFM,26.656248666666666,0.6355209955567813
13,2.5,12,2,JFM,26.673643000000002,0.693758138725171
14,2.5,12,2,JFM,26.591665666666664,0.7150410364943686
15,2.5,12,2,JFM,26.618044333333334,0.5685904197633337
1,3.5,1,4,MAM,27.52269533333333,0.38822336170160715
2,3.5,1,4,MAM,27.541138666666665,0.24420318054988546
3,3.5,1,4,MAM,27.538247333333334,0.21832453311678182
4,3.5,1,4,MAM,27.557344,0.31364477383172396
5,3.5,1,4,MAM,27.568900333333332,0.1994464925550575
6,3.5,1,4,MAM,27.478091333333335,0.2869320307016094
7,3.5,1,4,MAM,27.552362333333335,0.3104903357357468
8,3.5,1,4,MAM,27.443358,0.2267915962372417
9,3.5,1,4,MAM,27.503938,0.37986814129931057
10,3.5,1,4,MAM,27.519890333333333,0.20271305072057477
11,3.5,1,4,MAM,27.528647999999997,0.24377180745793084
12,3.5,1,4,MAM,27.516545666666666,0.25055558810816086
13,3.5,1,4,MAM,27.53999,0.25132963518620666
14,3.5,1,4,MAM,27.531742666666666,0.29103557141333336
15,3.5,1,4,MAM,27.502812333333335,0.26828923025988566
1,3.5,2,5,AMJ,27.597928666666668,0.1607060435498852
2,3.5,2,5,AMJ,27.617756666666665,0.10117903055402305
3,3.5,2,5,AMJ,27.636975,0.15881146995689838
4,3.5,2,5,AMJ,27.620746,0.16581904385241458
5,3.5,2,5,AMJ,27.637654,0.14102485570758583
6,3.5,2,5,AMJ,27.650001333333332,0.16736629270161094
7,3.5,2,5,AMJ,27.576935666666667,0.19954071850126381
8,3.5,2,5,AMJ,27.642897333333334,0.14897952711678145
9,3.5,2,5,AMJ,27.64590133333333,0.13702666681885198
10,3.5,2,5,AMJ,27.617670333333333,0.11052244660333252
11,3.5,2,5,AMJ,27.650361,0.17424514551275885
12,3.5,2,5,AMJ,27.682040333333337,0.1412703231205742
13,3.5,2,5,AMJ,27.570797000000002,0.17093453740103223
14,3.5,2,5,AMJ,27.66272,0.15510793022068875
15,3.5,2,5,AMJ,27.638920666666664,0.17065754799954022
1,3.5,3,6,MJJ,27.38296066666667,0.25113706258574653
2,3.5,3,6,MJJ,27.323673333333332,0.16619303790574746
3,3.5,3,6,MJJ,27.349695999999998,0.1824669276041363
4,3.5,3,6,MJJ,27.346163666666666,0.19608904434815988
5,3.5,3,6,MJJ,27.365095,0.2045072811913808
6,3.5,3,6,MJJ,27.262272333333332,0.18629481932884975
7,3.5,3,6,MJJ,27.255757000000003,0.22866534520793091
8,3.5,3,6,MJJ,27.412435666666667,0.2320234039081609
9,3.5,3,6,MJJ,27.394665,0.16714791062586248
10,3.5,3,6,MJJ,27.373153,0.2409249407734502
11,3.5,3,6,MJJ,27.416261666666667,0.23120357726264434
12,3.5,3,6,MJJ,27.397810333333332,0.22661424243091965
13,3.5,3,6,MJJ,27.334175666666667,0.2289839773633319
14,3.5,3,6,MJJ,27.367143,0.22236981984241627
15,3.5,3,6,MJJ,27.329616666666666,0.19209685915402322
1,3.5,4,7,JJA,26.828289333333334,0.34664762913057434
2,3.5,4,7,JJA,26.74952066666667,0.3613609239374712
3,3.5,4,7,JJA,26.808207999999997,0.35424763917517216
4,3.5,4,7,JJA,26.81539233333333,0.31763866334954016
5,3.5,4,7,JJA,26.905881333333333,0.2747337297912638
6,3.5,4,7,JJA,26.869515666666665,0.2567238617978161
7,3.5,4,7,JJA,26.826475333333335,0.25020642460505754
8,3.5,4,7,JJA,26.828342000000003,0.34581634543034506
9,3.5,4,7,JJA,26.841543,0.32928609858724195
10,3.5,4,7,JJA,26.857252666666668,0.32475605619954
11,3.5,4,7,JJA,26.85183,0.31204029615172457
12,3.5,4,7,JJA,26.806975,0.36001704490861963
13,3.5,4,7,JJA,26.826640333333334,0.3516886404791959
14,3.5,4,7,JJA,26.836289333333333,0.2691890385167807
15,3.5,4,7,JJA,26.790839666666667,0.3618162449067814
1,3.5,5,8,JAS,26.452423333333336,0.47256080382298876
2,3.5,5,8,JAS,26.406609666666668,0.4909769840585048
3,3.5,5,8,JAS,26.446994333333336,0.6106984381840233
4,3.5,5,8,JAS,26.484091666666664,0.42921260118678123
5,3.5,5,8,JAS,26.468228,0.4943885347889629
6,3.5,5,8,JAS,26.488221333333335,0.5376565830257465
7,3.5,5,8,JAS,26.478168999999998,0.5441405088506914
8,3.5,5,8,JAS,26.45671666666667,0.45386079153333364
9,3.5,5,8,JAS,26.420349333333334,0.5007008208616083
10,3.5,5,8,JAS,26.513679,0.7038586315472405
11,3.5,5,8,JAS,26.454955666666667,0.5023327795219539
12,3.5,5,8,JAS,26.521407333333332,0.5876468028409202
13,3.5,5,8,JAS,26.487696333333336,0.51359946936885
14,3.5,5,8,JAS,26.452170000000002,0.5270531629517243
15,3.5,5,8,JAS,26.53711333333333,0.5468267000436763
1,3.5,6,9,ASO,26.271213333333332,0.6608430211195411
2,3.5,6,9,ASO,26.246385333333333,0.6930331471912652
3,3.5,6,9,ASO,26.283742,0.7304611043889672
4,3.5,6,9,ASO,26.332428,0.6352680872786206
5,3.5,6,9,ASO,26.23580466666667,0.8637930090257455
6,3.5,6,9,ASO,26.20160566666667,0.6233634834254024
7,3.5,6,9,ASO,26.271013,0.5479124166217244
8,3.5,6,9,ASO,26.258215333333332,0.8087667408395404
9,3.5,6,9,ASO,26.2652,0.6294092903517254
10,3.5,6,9,ASO,26.220172666666667,0.7136055680133345
11,3.5,6,9,ASO,26.13931566666667,0.695383736301265
12,3.5,6,9,ASO,26.332818,0.676741970982069
13,3.5,6,9,ASO,26.300853,0.6766137541527586
14,3.5,6,9,ASO,26.208555333333333,0.6904105236188509
15,3.5,6,9,ASO,26.359018,0.6476924713337928
1,3.5,7,10,SON,26.301963666666666,0.7201381557550581
2,3.5,7,10,SON,26.259283666666665,0.8206568035619545
3,3.5,7,10,SON,26.47976333333333,0.9153876706298855
4,3.5,7,10,SON,26.370059333333334,0.9573087813719551
5,3.5,7,10,SON,26.344303333333336,0.8222482183126444
6,3.5,7,10,SON,26.362649666666666,0.9617654792378165
7,3.5,7,10,SON,26.365788666666667,0.8082250024326436
8,3.5,7,10,SON,26.353499333333332,0.8910588916685057
9,3.5,7,10,SON,26.290899000000003,0.9893240774093119
10,3.5,7,10,SON,26.32059033333333,0.9268151554447139
11,3.5,7,10,SON,26.295205,0.893857946522414
12,3.5,7,10,SON,26.32694,0.9399626551586207
13,3.5,7,10,SON,26.320097666666666,1.0324882079840225
14,3.5,7,10,SON,26.307982666666664,0.8735185166891951
15,3.5,7,10,SON,26.334436,0.9859688121144818
1,3.5,8,11,OND,26.393062333333333,1.051625737839197
2,3.5,8,11,OND,26.448580333333332,0.9213403030102296
3,3.5,8,11,OND,26.471679333333334,1.0999920344547107
4,3.5,8,11,OND,26.440530333333335,1.1708710350171263
5,3.5,8,11,OND,26.443542413793104,1.2149073018118215
6,3.5,8,11,OND,26.37465166666667,1.1253992201867813
7,3.5,8,11,OND,26.388370000000002,1.0508452342482792
8,3.5,8,11,OND,26.459330333333334,1.2657878715619542
9,3.5,8,11,OND,26.376388000000002,1.1052002850924139
10,3.5,8,11,OND,26.328951333333336,1.155694569274023
11,3.5,8,11,OND,26.511797,1.2253046676286223
12,3.5,8,11,OND,26.504384333333334,1.0910328569426442
13,3.5,8,11,OND,26.433441000000002,1.243229534202415
14,3.5,8,11,OND,26.34319533333333,1.010948128122298
15,3.5,8,11,OND,26.412462,1.2918594807062065
1,3.5,9,12,NDJ,26.429645666666666,1.044313550039196
2,3.5,9,12,NDJ,26.433567666666665,0.9812708363633329
3,3.5,9,12,NDJ,26.481930666666667,1.0997258781650578
4,3.5,9,12,NDJ,26.410545333333335,1.126018044163677
5,3.5,9,12,NDJ,26.400011666666668,1.0714887114902298
6,3.5,9,12,NDJ,26.378014,1.2123017727420693
7,3.5,9,12,NDJ,26.411909333333334,1.189392554116782
8,3.5,9,12,NDJ,26.447603,1.0159980951320688
9,3.5,9,12,NDJ,26.424469,1.3030287482920697
10,3.5,9,12,NDJ,26.301885333333335,1.0216795267498848
11,3.5,9,12,NDJ,26.397874333333334,1.0733979666805755
12,3.5,9,12,NDJ,26.47004433333333,1.1150873531288505
13,3.5,9,12,NDJ,26.418052333333332,1.0289593574322986
14,3.5,9,12,NDJ,26.428725666666665,1.2207979303702299
15,3.5,9,12,NDJ,26.436114999999997,1.1959410727362054
1,3.5,10,1,DJF,26.311767333333332,1.0580520441236785
2,3.5,10,1,DJF,26.366210000000002,0.8722582405034471
3,3.5,10,1,DJF,26.349879333333334,0.9961165629512642
4,3.5,10,1,DJF,26.323406666666667,0.9496530957333335
5,3.5,10,1,DJF,26.33682333333333,0.9204623090229892
6,3.5,10,1,DJF,26.341806000000002,0.898552791059312
7,3.5,10,1,DJF,26.340018999999998,0.8378058328024147
8,3.5,10,1,DJF,26.342344333333337,0.949105642639195
9,3.5,10,1,DJF,26.327823333333335,0.9826624980091963
10,3.5,10,1,DJF,26.368543666666667,0.9814062205205756
11,3.5,10,1,DJF,26.323236666666666,0.8849708853264376
12,3.5,10,1,DJF,26.392258333333334,1.0289223016833344
13,3.5,10,1,DJF,26.411942333333332,0.9582308359081604
14,3.5,10,1,DJF,26.370294,1.0071414027489665
15,3.5,10,1,DJF,26.327794333333333,0.8865490088391941
1,3.5,11,2,JFM,26.532626999999998,0.754223982442412
2,3.5,11,2,JFM,26.516253,0.7970540766217242
3,3.5,11,2,JFM,26.612805666666667,0.5931059143495404
4,3.5,11,2,JFM,26.543619999999997,0.6568309208758617
5,3.5,11,2,JFM,26.556531666666668,0.5211829924902306
6,3.5,11,2,JFM,26.568097,0.7096198545596555
7,3.5,11,2,JFM,26.576915,0.6838634031293099
8,3.5,11,2,JFM,26.543661,0.5904980403265526
9,3.5,11,2,JFM,26.537322333333336,0.6679350002391956
10,3.5,11,2,JFM,26.495631,0.7532053938851706
11,3.5,11,2,JFM,26.519388333333332,0.6487356269385065
12,3.5,11,2,JFM,26.534047666666666,0.7104913544322989
13,3.5,11,2,JFM,26.580816333333335,0.7592105463964355
14,3.5,11,2,JFM,26.571061,0.6695335856920688
15,3.5,11,2,JFM,26.545427333333336,0.6493917193098847
