M,L,MON,LDC_SST_GFDL_SPEAR
7,6.5,0000 1 Mar 1991,25.68877
8,6.5,0000 1 Mar 1991,25.76468
9,6.5,0000 1 Mar 1991,25.491
10,6.5,0000 1 Mar 1991,26.04587
11,6.5,0000 1 Mar 1991,25.33902
12,6.5,0000 1 Mar 1991,25.28352
13,6.5,0000 1 Mar 1991,26.13368
14,6.5,0000 1 Mar 1991,25.36717
15,6.5,0000 1 Mar 1991,26.07028
1,7.5,0000 1 Mar 1991,24.80643
2,7.5,0000 1 Mar 1991,25.27316
3,7.5,0000 1 Mar 1991,25.78529
4,7.5,0000 1 Mar 1991,24.95415
5,7.5,0000 1 Mar 1991,25.67186
6,7.5,0000 1 Mar 1991,25.25989
7,7.5,0000 1 Mar 1991,25.40097
8,7.5,0000 1 Mar 1991,25.75575
9,7.5,0000 1 Mar 1991,25.36371
10,7.5,0000 1 Mar 1991,26.15709
11,7.5,0000 1 Mar 1991,25.26882
12,7.5,0000 1 Mar 1991,25.40485
13,7.5,0000 1 Mar 1991,26.08813
14,7.5,0000 1 Mar 1991,25.42606
15,7.5,0000 1 Mar 1991,25.92658
1,8.5,0000 1 Mar 1991,24.74648
2,8.5,0000 1 Mar 1991,25.26232
3,8.5,0000 1 Mar 1991,25.66947
4,8.5,0000 1 Mar 1991,24.69761
5,8.5,0000 1 Mar 1991,25.69503
6,8.5,0000 1 Mar 1991,25.10381
7,8.5,0000 1 Mar 1991,25.10937
8,8.5,0000 1 Mar 1991,25.64856
9,8.5,0000 1 Mar 1991,25.26038
10,8.5,0000 1 Mar 1991,26.23536
11,8.5,0000 1 Mar 1991,25.03349
12,8.5,0000 1 Mar 1991,25.4583
13,8.5,0000 1 Mar 1991,26.0386
14,8.5,0000 1 Mar 1991,25.37375
15,8.5,0000 1 Mar 1991,25.75749
1,9.5,0000 1 Mar 1991,24.78811
2,9.5,0000 1 Mar 1991,25.29402
3,9.5,0000 1 Mar 1991,25.49179
4,9.5,0000 1 Mar 1991,24.42872
5,9.5,0000 1 Mar 1991,25.67292
6,9.5,0000 1 Mar 1991,24.90329
7,9.5,0000 1 Mar 1991,24.69159
8,9.5,0000 1 Mar 1991,25.42875
9,9.5,0000 1 Mar 1991,25.06597
10,9.5,0000 1 Mar 1991,26.17147
11,9.5,0000 1 Mar 1991,24.73224
12,9.5,0000 1 Mar 1991,25.27858
13,9.5,0000 1 Mar 1991,25.94785
14,9.5,0000 1 Mar 1991,25.2267
15,9.5,0000 1 Mar 1991,25.47046
1,10.5,0000 1 Mar 1991,24.92601
2,10.5,0000 1 Mar 1991,25.37092
3,10.5,0000 1 Mar 1991,25.35232
4,10.5,0000 1 Mar 1991,24.25854
5,10.5,0000 1 Mar 1991,25.64758
6,10.5,0000 1 Mar 1991,24.72584
7,10.5,0000 1 Mar 1991,24.43335
8,10.5,0000 1 Mar 1991,25.24691
9,10.5,0000 1 Mar 1991,24.98841
10,10.5,0000 1 Mar 1991,25.99352
11,10.5,0000 1 Mar 1991,24.45829
12,10.5,0000 1 Mar 1991,25.0959
13,10.5,0000 1 Mar 1991,25.87968
14,10.5,0000 1 Mar 1991,25.21631
15,10.5,0000 1 Mar 1991,25.26057
1,1.5,0000 1 Apr 1991,27.40425
2,1.5,0000 1 Apr 1991,27.46049
3,1.5,0000 1 Apr 1991,27.33329
4,1.5,0000 1 Apr 1991,27.31644
5,1.5,0000 1 Apr 1991,27.29098
6,1.5,0000 1 Apr 1991,27.38686
7,1.5,0000 1 Apr 1991,27.1488
8,1.5,0000 1 Apr 1991,27.17083
9,1.5,0000 1 Apr 1991,27.33745
10,1.5,0000 1 Apr 1991,27.35182
11,1.5,0000 1 Apr 1991,27.27783
12,1.5,0000 1 Apr 1991,27.36435
13,1.5,0000 1 Apr 1991,27.3457
14,1.5,0000 1 Apr 1991,27.36905
15,1.5,0000 1 Apr 1991,27.45493
1,2.5,0000 1 Apr 1991,26.99093
2,2.5,0000 1 Apr 1991,26.92732
3,2.5,0000 1 Apr 1991,26.8136
