M,L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO
8,9.5,4,1,DJF,24.382170000000023,0.6935332656206912
9,9.5,4,1,DJF,24.35208666666669,0.7628671853333341
10,9.5,4,1,DJF,24.39476333333335,0.8687595044712727
11,9.5,4,1,DJF,24.292163333333352,0.7745159686092
12,9.5,4,1,DJF,24.26128000000002,0.783719119586213
13,9.5,4,1,DJF,24.512656666666697,0.9185177039195367
14,9.5,4,1,DJF,24.276560000000018,0.6954311617931014
15,9.5,4,1,DJF,24.211593333333365,0.5956331158161016
16,9.5,4,1,DJF,24.200023333333363,0.580153272195398
17,9.5,4,1,DJF,24.24337000000002,0.7412868987241452
18,9.5,4,1,DJF,24.279103333333357,0.40284108171264704
19,9.5,4,1,DJF,24.321126666666682,0.6124764854712623
20,9.5,4,1,DJF,24.36628666666669,0.9563866074023025
1,9.5,5,2,JFM,24.759906666666687,0.8431508358160937
2,9.5,5,2,JFM,24.91254000000003,0.8674647728275796
3,9.5,5,2,JFM,24.885966666666686,1.0620040305747176
4,9.5,5,2,JFM,24.866733333333354,0.8927170098850564
5,9.5,5,2,JFM,24.68479000000002,0.5437169602413752
6,9.5,5,2,JFM,24.69606333333336,0.6080573630919557
7,9.5,5,2,JFM,24.855010000000025,0.7202605547241276
8,9.5,5,2,JFM,24.82327666666669,0.7507215025402293
9,9.5,5,2,JFM,24.869563333333357,0.9114242692988586
10,9.5,5,2,JFM,24.87840000000002,0.8619378399999966
11,9.5,5,2,JFM,24.858703333333363,0.7705523727471223
12,9.5,5,2,JFM,24.76577000000002,0.8744721138965571
13,9.5,5,2,JFM,24.63337666666669,0.5913015356436908
14,9.5,5,2,JFM,24.87292000000002,0.7706545051034557
15,9.5,5,2,JFM,24.875473333333357,0.844429850988508
16,9.5,5,2,JFM,24.84112000000002,0.7245297795862093
17,9.5,5,2,JFM,24.715030000000024,0.8327110518275815
18,9.5,5,2,JFM,24.73122000000002,0.8127680775172386
19,9.5,5,2,JFM,24.90904666666669,0.7180949149884953
20,9.5,5,2,JFM,24.854386666666688,0.5755146363678055
1,9.5,6,3,FMA,25.237876666666693,1.0036781101264363
2,9.5,6,3,FMA,25.20299666666669,0.6645473761954034
3,9.5,6,3,FMA,25.318643333333355,0.8049166777126507
4,9.5,6,3,FMA,25.31046666666669,0.9032471643678224
5,9.5,6,3,FMA,25.339440000000025,0.8207671638620717
6,9.5,6,3,FMA,25.151890000000023,0.8941572802413887
7,9.5,6,3,FMA,25.26328333333335,0.8419508448850567
8,9.5,6,3,FMA,25.221780000000027,0.987571545793105
9,9.5,6,3,FMA,25.22855666666669,0.7794657225402276
10,9.5,6,3,FMA,25.335000000000022,0.6304254000000028
11,9.5,6,3,FMA,25.306280000000026,0.651215980275859
12,9.5,6,3,FMA,25.324386666666683,0.7450482322298818
13,9.5,6,3,FMA,25.25159666666669,0.9665982355057515
14,9.5,6,3,FMA,25.28402666666669,0.6651531254712642
15,9.5,6,3,FMA,25.19332666666669,0.6198959530574658
16,9.5,6,3,FMA,25.30102666666669,0.8200610758160909
17,9.5,6,3,FMA,25.240213333333358,0.6846370142988486
18,9.5,6,3,FMA,25.063553333333356,0.5828773611954022
19,9.5,6,3,FMA,25.19196333333336,0.684275828609197
20,9.5,6,3,FMA,25.169216666666692,0.7687925538505772
1,9.5,7,4,MAM,25.67082333333336,0.9443498087471176
2,9.5,7,4,MAM,25.55585333333335,0.7080469832643718
3,9.5,7,4,MAM,25.509223333333352,0.769162765988494
4,9.5,7,4,MAM,25.573673333333357,0.6622967840919478
5,9.5,7,4,MAM,25.61551666666669,0.7855638593678165
6,9.5,7,4,MAM,25.59427000000002,0.7888159994137968
7,9.5,7,4,MAM,25.64047000000003,0.5925727587241331
8,9.5,7,4,MAM,25.616036666666684,0.5106352961953938
9,9.5,7,4,MAM,25.63939333333336,1.0201110640919608
10,9.5,7,4,MAM,25.67999000000002,0.7893601836896649
11,9.5,7,4,MAM,25.541170000000026,0.8537500290689735
12,9.5,7,4,MAM,25.682290000000027,1.0479828326551734
13,9.5,7,4,MAM,25.470840000000024,0.6720118838620663
14,9.5,7,4,MAM,25.678600000000028,1.113321854482751
15,9.5,7,4,MAM,25.71273000000002,0.9536769676896563
16,9.5,7,4,MAM,25.68266333333335,0.7613098541264371
17,9.5,7,4,MAM,25.580530000000028,0.622112662862068
18,9.5,7,4,MAM,25.65479333333335,0.8409234302988527
19,9.5,7,4,MAM,25.635423333333353,0.8549099466781481
20,9.5,7,4,MAM,25.850433333333356,0.81812114712643
1,9.5,8,5,AMJ,25.14708333333335,0.6154136545402276
2,9.5,8,5,AMJ,25.55078666666669,0.4659277205057523
3,9.5,8,5,AMJ,25.39868000000002,0.8524763023448196
