M,L,MON,LDC_SST_NASA_GEOSS2S
4,7.5,0000 1 Feb 1992,28.02517
1,1.5,0000 1 Mar 1992,29.13347
2,1.5,0000 1 Mar 1992,29.22979
3,1.5,0000 1 Mar 1992,29.5689
4,1.5,0000 1 Mar 1992,29.2828
1,2.5,0000 1 Mar 1992,29.31779
2,2.5,0000 1 Mar 1992,29.45279
3,2.5,0000 1 Mar 1992,29.80032
4,2.5,0000 1 Mar 1992,29.60722
1,3.5,0000 1 Mar 1992,29.04731
2,3.5,0000 1 Mar 1992,29.26314
3,3.5,0000 1 Mar 1992,29.52199
4,3.5,0000 1 Mar 1992,29.41687
1,4.5,0000 1 Mar 1992,28.48946
2,4.5,0000 1 Mar 1992,28.61226
3,4.5,0000 1 Mar 1992,29.09704
4,4.5,0000 1 Mar 1992,28.81173
1,5.5,0000 1 Mar 1992,27.83609
2,5.5,0000 1 Mar 1992,27.97568
3,5.5,0000 1 Mar 1992,28.637
4,5.5,0000 1 Mar 1992,28.08246
1,6.5,0000 1 Mar 1992,27.3632
2,6.5,0000 1 Mar 1992,27.48208
3,6.5,0000 1 Mar 1992,28.55473
4,6.5,0000 1 Mar 1992,27.72091
1,7.5,0000 1 Mar 1992,27.09633
2,7.5,0000 1 Mar 1992,27.28014
3,7.5,0000 1 Mar 1992,28.52417
4,7.5,0000 1 Mar 1992,27.61559
1,1.5,0000 1 Apr 1992,29.7866
2,1.5,0000 1 Apr 1992,29.82743
3,1.5,0000 1 Apr 1992,29.87169
4,1.5,0000 1 Apr 1992,29.4936
1,2.5,0000 1 Apr 1992,29.7653
2,2.5,0000 1 Apr 1992,29.93466
3,2.5,0000 1 Apr 1992,29.97121
4,2.5,0000 1 Apr 1992,29.63776
1,3.5,0000 1 Apr 1992,29.10425
2,3.5,0000 1 Apr 1992,29.64729
3,3.5,0000 1 Apr 1992,29.85499
4,3.5,0000 1 Apr 1992,29.64473
1,4.5,0000 1 Apr 1992,28.29751
2,4.5,0000 1 Apr 1992,29.37084
