M,L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
1,6.5,2,8,JAS,26.905052666666666,0.9030006232133353
2,6.5,2,8,JAS,27.156396333333337,1.0205545526240227
3,6.5,2,8,JAS,27.210460333333334,1.319776298679195
4,6.5,2,8,JAS,27.115843333333334,0.7921172029885062
1,6.5,3,9,ASO,27.520416,1.7374229434110349
2,6.5,3,9,ASO,27.091987333333336,2.0967146641167806
3,6.5,3,9,ASO,27.396765333333335,2.142418044874022
4,6.5,3,9,ASO,27.33954633333333,1.5621247819550568
1,6.5,4,10,SON,27.583771333333335,2.4477414341774724
2,6.5,4,10,SON,27.53132833333333,2.4468358067178153
3,6.5,4,10,SON,27.548543,2.100620390594139
4,6.5,4,10,SON,27.482867666666667,3.0696070892047134
1,6.5,5,11,OND,27.376029666666668,2.941656281003333
2,6.5,5,11,OND,27.450301333333336,2.3687463070602295
3,6.5,5,11,OND,27.274061,2.7045162256024127
4,6.5,5,11,OND,27.208322666666668,2.740281384875402
1,6.5,6,12,NDJ,27.06576,3.4682408286758637
2,6.5,6,12,NDJ,27.003128666666665,3.325979352418852
3,6.5,6,12,NDJ,26.997022333333334,3.043435876646091
4,6.5,6,12,NDJ,26.979322000000003,2.846563091182068
1,6.5,7,1,DJF,26.781113,3.6334571379458622
2,6.5,7,1,DJF,26.522268666666665,3.4874682231085066
3,6.5,7,1,DJF,26.405209333333335,3.044597296992646
4,6.5,7,1,DJF,26.564726333333333,3.2702562863619535
1,6.5,8,2,JFM,26.195245,3.375027148508621
2,6.5,8,2,JFM,26.141318000000002,3.134391061457931
3,6.5,8,2,JFM,26.262013666666668,3.221223025589539
4,6.5,8,2,JFM,26.048964333333334,2.192617399370229
1,6.5,9,3,FMA,26.257140333333332,2.2377043093205735
2,6.5,9,3,FMA,26.17829,2.1537094500965512
3,6.5,9,3,FMA,26.087282000000002,1.8746859934579319
4,6.5,9,3,FMA,26.228485666666664,1.9457508502322993
1,6.5,10,4,MAM,26.319383666666667,1.5590216249412638
2,6.5,10,4,MAM,26.373233666666668,1.9698881751964388
3,6.5,10,4,MAM,26.413136,1.9233122250731036
4,6.5,10,4,MAM,26.326231,2.042243831098966
1,6.5,11,5,AMJ,26.692948,1.3342927072303448
2,6.5,11,5,AMJ,26.662899666666664,1.3953664473757474
3,6.5,11,5,AMJ,26.900684333333334,1.2346143139978163
4,6.5,11,5,AMJ,26.945774333333336,1.519744147121955
1,6.5,12,6,MJJ,26.939128666666665,0.9972957246671257
2,6.5,12,6,MJJ,27.033804333333332,1.1472055358529887
3,6.5,12,6,MJJ,27.031436333333332,1.1118901573343656
4,6.5,12,6,MJJ,26.941637,0.9097592300079314
1,7.5,1,8,JAS,26.947044,0.9808538442524143
2,7.5,1,8,JAS,26.891271,0.7803252001403468
3,7.5,1,8,JAS,27.131994666666667,1.0601464087981614
4,7.5,1,8,JAS,26.985515666666668,1.1311751450185057
1,7.5,2,9,ASO,26.851132,1.23216770112
2,7.5,2,9,ASO,27.17599166666667,1.2425890088350573
3,7.5,2,9,ASO,27.166243,1.6190977173941377
4,7.5,2,9,ASO,27.067260333333333,1.0443039975619532
1,7.5,3,10,SON,27.706406,2.1010182798248276
2,7.5,3,10,SON,27.206991333333335,2.701401677742988
3,7.5,3,10,SON,27.598838666666666,2.7627728792119552
4,7.5,3,10,SON,27.426505333333335,1.9423804899843662
1,7.5,4,11,OND,27.675095,2.990987675977587
2,7.5,4,11,OND,27.652383999999998,3.1096604947351714
3,7.5,4,11,OND,27.730686666666667,2.5646777490505746
4,7.5,4,11,OND,27.652864,3.8543294199903473
1,7.5,5,12,NDJ,27.23139366666667,3.6464883917895414
2,7.5,5,12,NDJ,27.321767666666666,2.9789938746391975
3,7.5,5,12,NDJ,27.177863666666667,3.1126892902998837
4,7.5,5,12,NDJ,27.063499333333333,2.9995340940478163
1,7.5,6,1,DJF,26.784655,3.954575127281035
2,7.5,6,1,DJF,26.793565333333333,3.559892453915404
3,7.5,6,1,DJF,26.778553666666667,3.211500790913676
4,7.5,6,1,DJF,26.77439133333333,3.240185855453335
1,7.5,7,2,JFM,26.637689666666667,3.6182835000378164
2,7.5,7,2,JFM,26.429816666666667,3.4824055504712645
3,7.5,7,2,JFM,26.307820666666665,2.997037202468506
4,7.5,7,2,JFM,26.509251333333335,3.150711806942989
1,7.5,8,3,FMA,26.470094666666668,3.0617988502326434
2,7.5,8,3,FMA,26.365495333333335,2.7892627787291966
3,7.5,8,3,FMA,26.515456333333336,2.8653390004860926
4,7.5,8,3,FMA,26.253204,1.926653476804138
1,7.5,9,4,MAM,26.666126000000002,1.9578214435696573
2,7.5,9,4,MAM,26.549555666666667,1.8301955872254025
3,7.5,9,4,MAM,26.538235666666665,1.387722818301264
4,7.5,9,4,MAM,26.607422333333332,1.414078591935746
1,7.5,10,5,AMJ,26.659936666666667,1.1747722968022976
2,7.5,10,5,AMJ,26.688953,1.5738532769872422
3,7.5,10,5,AMJ,26.733275666666668,1.4025072779426453
4,7.5,10,5,AMJ,26.641108,1.8379502736234485
1,7.5,11,6,MJJ,26.785553,0.975720772497588
2,7.5,11,6,MJJ,26.754950333333333,1.1287717312447119
3,7.5,11,6,MJJ,26.966295666666667,0.9332291572391959
4,7.5,11,6,MJJ,26.988824,1.1656368420937926
1,7.5,12,7,JJA,26.848095333333333,0.8890630540257467
2,7.5,12,7,JJA,26.918653666666668,1.0571196177205737
3,7.5,12,7,JJA,26.901413333333334,0.9370170928505743
4,7.5,12,7,JJA,26.816310333333334,0.9629056009481618
