L,M,MON,LDC_SST_CanESM5
8.5,13,0000 1 Feb 1991,299.7986
9.5,13,0000 1 Feb 1991,299.7267
10.5,13,0000 1 Feb 1991,299.6695
1.5,14,0000 1 Feb 1991,300.8434
2.5,14,0000 1 Feb 1991,301.15
3.5,14,0000 1 Feb 1991,301.1854
4.5,14,0000 1 Feb 1991,300.9456
5.5,14,0000 1 Feb 1991,300.5381
6.5,14,0000 1 Feb 1991,300.1436
7.5,14,0000 1 Feb 1991,299.8512
8.5,14,0000 1 Feb 1991,299.7606
9.5,14,0000 1 Feb 1991,299.6696
10.5,14,0000 1 Feb 1991,299.5731
1.5,15,0000 1 Feb 1991,300.5854
2.5,15,0000 1 Feb 1991,300.7467
3.5,15,0000 1 Feb 1991,300.7173
4.5,15,0000 1 Feb 1991,300.5192
5.5,15,0000 1 Feb 1991,300.2056
6.5,15,0000 1 Feb 1991,299.9897
7.5,15,0000 1 Feb 1991,299.933
8.5,15,0000 1 Feb 1991,299.988
9.5,15,0000 1 Feb 1991,299.9185
10.5,15,0000 1 Feb 1991,299.85
1.5,16,0000 1 Feb 1991,300.8278
2.5,16,0000 1 Feb 1991,301.1053
3.5,16,0000 1 Feb 1991,301.1431
4.5,16,0000 1 Feb 1991,300.9336
5.5,16,0000 1 Feb 1991,300.5907
6.5,16,0000 1 Feb 1991,300.2651
7.5,16,0000 1 Feb 1991,300.0876
8.5,16,0000 1 Feb 1991,300.0695
9.5,16,0000 1 Feb 1991,300.0636
10.5,16,0000 1 Feb 1991,299.998
1.5,17,0000 1 Feb 1991,300.8309
2.5,17,0000 1 Feb 1991,301.0391
3.5,17,0000 1 Feb 1991,300.8693
4.5,17,0000 1 Feb 1991,300.4093
5.5,17,0000 1 Feb 1991,299.9119
6.5,17,0000 1 Feb 1991,299.513
7.5,17,0000 1 Feb 1991,299.2606
8.5,17,0000 1 Feb 1991,299.1113
9.5,17,0000 1 Feb 1991,298.9666
10.5,17,0000 1 Feb 1991,298.8834
1.5,18,0000 1 Feb 1991,300.7405
2.5,18,0000 1 Feb 1991,301.0379
3.5,18,0000 1 Feb 1991,301.0695
4.5,18,0000 1 Feb 1991,300.787
5.5,18,0000 1 Feb 1991,300.3498
6.5,18,0000 1 Feb 1991,299.9184
7.5,18,0000 1 Feb 1991,299.6423
8.5,18,0000 1 Feb 1991,299.4875
9.5,18,0000 1 Feb 1991,299.3775
10.5,18,0000 1 Feb 1991,299.2565
1.5,19,0000 1 Feb 1991,300.5173
2.5,19,0000 1 Feb 1991,300.6633
3.5,19,0000 1 Feb 1991,300.6753
4.5,19,0000 1 Feb 1991,300.5131
5.5,19,0000 1 Feb 1991,300.3561
6.5,19,0000 1 Feb 1991,300.1926
7.5,19,0000 1 Feb 1991,300.1233
8.5,19,0000 1 Feb 1991,300.1678
9.5,19,0000 1 Feb 1991,300.1354
10.5,19,0000 1 Feb 1991,299.9799
1.5,20,0000 1 Feb 1991,300.7213
2.5,20,0000 1 Feb 1991,300.8807
3.5,20,0000 1 Feb 1991,300.8603
4.5,20,0000 1 Feb 1991,300.5515
5.5,20,0000 1 Feb 1991,300.1599
6.5,20,0000 1 Feb 1991,299.7887
7.5,20,0000 1 Feb 1991,299.6522
8.5,20,0000 1 Feb 1991,299.7064
9.5,20,0000 1 Feb 1991,299.7551
10.5,20,0000 1 Feb 1991,299.7553
1.5,1,0000 1 Mar 1991,301.0792
2.5,1,0000 1 Mar 1991,301.3208
3.5,1,0000 1 Mar 1991,301.3658
4.5,1,0000 1 Mar 1991,301.3291
5.5,1,0000 1 Mar 1991,301.3111
6.5,1,0000 1 Mar 1991,301.453
7.5,1,0000 1 Mar 1991,301.7092
8.5,1,0000 1 Mar 1991,301.8367
9.5,1,0000 1 Mar 1991,301.6679
10.5,1,0000 1 Mar 1991,301.3875
1.5,2,0000 1 Mar 1991,301.2223
2.5,2,0000 1 Mar 1991,301.3734
3.5,2,0000 1 Mar 1991,301.1837
4.5,2,0000 1 Mar 1991,300.8067
5.5,2,0000 1 Mar 1991,300.3781
6.5,2,0000 1 Mar 1991,300.1088
7.5,2,0000 1 Mar 1991,299.9484
8.5,2,0000 1 Mar 1991,299.7714
9.5,2,0000 1 Mar 1991,299.5432
10.5,2,0000 1 Mar 1991,299.4392
1.5,3,0000 1 Mar 1991,301.0201
2.5,3,0000 1 Mar 1991,301.2454
3.5,3,0000 1 Mar 1991,301.2169
4.5,3,0000 1 Mar 1991,301.0854
5.5,3,0000 1 Mar 1991,300.9416
6.5,3,0000 1 Mar 1991,300.9295
7.5,3,0000 1 Mar 1991,301.0307
8.5,3,0000 1 Mar 1991,301.1671
9.5,3,0000 1 Mar 1991,301.1821
10.5,3,0000 1 Mar 1991,301.1134
1.5,4,0000 1 Mar 1991,301.1083
2.5,4,0000 1 Mar 1991,301.2295
3.5,4,0000 1 Mar 1991,301.038
4.5,4,0000 1 Mar 1991,300.6859
5.5,4,0000 1 Mar 1991,300.3312
6.5,4,0000 1 Mar 1991,299.9994
7.5,4,0000 1 Mar 1991,299.7264
8.5,4,0000 1 Mar 1991,299.5323
9.5,4,0000 1 Mar 1991,299.4524
10.5,4,0000 1 Mar 1991,299.5727
1.5,5,0000 1 Mar 1991,301.1217
2.5,5,0000 1 Mar 1991,301.3537
3.5,5,0000 1 Mar 1991,301.3281
4.5,5,0000 1 Mar 1991,301.137
5.5,5,0000 1 Mar 1991,300.8802
6.5,5,0000 1 Mar 1991,300.6835
7.5,5,0000 1 Mar 1991,300.5685
8.5,5,0000 1 Mar 1991,300.422
9.5,5,0000 1 Mar 1991,300.1922
10.5,5,0000 1 Mar 1991,300.0633
1.5,6,0000 1 Mar 1991,301.1133
2.5,6,0000 1 Mar 1991,301.3065
3.5,6,0000 1 Mar 1991,301.1749
4.5,6,0000 1 Mar 1991,300.9004
5.5,6,0000 1 Mar 1991,300.592
6.5,6,0000 1 Mar 1991,300.3842
7.5,6,0000 1 Mar 1991,300.3097
8.5,6,0000 1 Mar 1991,300.2694
9.5,6,0000 1 Mar 1991,300.1973
10.5,6,0000 1 Mar 1991,300.1452
1.5,7,0000 1 Mar 1991,300.7668
2.5,7,0000 1 Mar 1991,300.7755
3.5,7,0000 1 Mar 1991,300.5905
4.5,7,0000 1 Mar 1991,300.3053
5.5,7,0000 1 Mar 1991,300.0635
6.5,7,0000 1 Mar 1991,299.9034
7.5,7,0000 1 Mar 1991,299.7398
8.5,7,0000 1 Mar 1991,299.5735
9.5,7,0000 1 Mar 1991,299.3855
10.5,7,0000 1 Mar 1991,299.4499
1.5,8,0000 1 Mar 1991,301.0861
2.5,8,0000 1 Mar 1991,301.2985
3.5,8,0000 1 Mar 1991,301.2347
4.5,8,0000 1 Mar 1991,300.9848
5.5,8,0000 1 Mar 1991,300.6306
6.5,8,0000 1 Mar 1991,300.3608
7.5,8,0000 1 Mar 1991,300.165
8.5,8,0000 1 Mar 1991,300.038
9.5,8,0000 1 Mar 1991,299.8764
10.5,8,0000 1 Mar 1991,299.7975
1.5,9,0000 1 Mar 1991,301.1677
2.5,9,0000 1 Mar 1991,301.2985
3.5,9,0000 1 Mar 1991,301.0739
