L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
2.5,0000 1 Jun 1993,299.4006,296.6205,298.2026,301.5343
3.5,0000 1 Jun 1993,299.0218,296.3853,297.8703,301.2543
4.5,0000 1 Jun 1993,298.8961,296.5061,297.8344,301.0654
5.5,0000 1 Jun 1993,298.8074,296.8788,297.893,300.8661
6.5,0000 1 Jun 1993,298.6775,297.5067,297.9886,300.567
7.5,0000 1 Jun 1993,298.6215,298.3286,298.2502,300.2412
8.5,0000 1 Jun 1993,298.7314,299.0763,298.5939,300.0582
9.5,0000 1 Jun 1993,299.0084,299.3176,298.9532,300.0951
10.5,0000 1 Jun 1993,299.203,298.6481,298.8939,300.2715
1.5,0000 1 Jul 1993,299.6496,296.265,298.2848,301.88
2.5,0000 1 Jul 1993,299.1869,296.2612,297.9224,301.5938
3.5,0000 1 Jul 1993,299.0371,296.5044,297.8919,301.346
4.5,0000 1 Jul 1993,298.9115,296.9442,297.9399,301.057
5.5,0000 1 Jul 1993,298.7177,297.5847,298.0321,300.695
6.5,0000 1 Jul 1993,298.633,298.3979,298.2973,300.3373
7.5,0000 1 Jul 1993,298.7726,299.1566,298.6884,300.136
8.5,0000 1 Jul 1993,299.0823,299.4331,299.0564,300.1657
9.5,0000 1 Jul 1993,299.2927,298.788,299.01,300.3254
10.5,0000 1 Jul 1993,299.2669,297.6073,298.5757,300.4453
1.5,0000 1 Aug 1993,299.4519,295.9834,298.0303,301.8441
2.5,0000 1 Aug 1993,299.2148,296.4202,297.9533,301.631
3.5,0000 1 Aug 1993,299.0543,296.8774,297.9615,301.3571
4.5,0000 1 Aug 1993,298.8708,297.4929,298.0366,301.045
5.5,0000 1 Aug 1993,298.7773,298.3434,298.2983,300.692
6.5,0000 1 Aug 1993,298.8798,299.1625,298.7111,300.4388
7.5,0000 1 Aug 1993,299.1329,299.4659,299.0802,300.3694
8.5,0000 1 Aug 1993,299.2914,298.7978,299.0079,300.4504
9.5,0000 1 Aug 1993,299.2418,297.5375,298.4954,300.5185
10.5,0000 1 Aug 1993,298.9259,296.2433,297.7191,300.4625
