L,M,MON,LDC_SST_GEM52_NEMO
2.5,2,0000 1 Mar 1991,300.1983
3.5,2,0000 1 Mar 1991,299.8059
4.5,2,0000 1 Mar 1991,299.1717
5.5,2,0000 1 Mar 1991,298.5405
6.5,2,0000 1 Mar 1991,298.0963
7.5,2,0000 1 Mar 1991,297.9218
8.5,2,0000 1 Mar 1991,297.7903
9.5,2,0000 1 Mar 1991,297.6313
10.5,2,0000 1 Mar 1991,297.5379
1.5,3,0000 1 Mar 1991,300.3047
2.5,3,0000 1 Mar 1991,300.1336
3.5,3,0000 1 Mar 1991,299.6641
4.5,3,0000 1 Mar 1991,298.9643
5.5,3,0000 1 Mar 1991,298.3507
6.5,3,0000 1 Mar 1991,297.9392
7.5,3,0000 1 Mar 1991,297.7744
8.5,3,0000 1 Mar 1991,297.6374
9.5,3,0000 1 Mar 1991,297.4934
10.5,3,0000 1 Mar 1991,297.4701
1.5,4,0000 1 Mar 1991,300.4061
2.5,4,0000 1 Mar 1991,300.1618
3.5,4,0000 1 Mar 1991,299.6206
4.5,4,0000 1 Mar 1991,298.973
5.5,4,0000 1 Mar 1991,298.3629
6.5,4,0000 1 Mar 1991,297.9009
7.5,4,0000 1 Mar 1991,297.5486
8.5,4,0000 1 Mar 1991,297.3535
9.5,4,0000 1 Mar 1991,297.2184
10.5,4,0000 1 Mar 1991,297.1664
1.5,5,0000 1 Mar 1991,300.2951
2.5,5,0000 1 Mar 1991,300.0552
3.5,5,0000 1 Mar 1991,299.5879
4.5,5,0000 1 Mar 1991,298.9473
5.5,5,0000 1 Mar 1991,298.3551
6.5,5,0000 1 Mar 1991,297.9218
7.5,5,0000 1 Mar 1991,297.7075
8.5,5,0000 1 Mar 1991,297.5806
9.5,5,0000 1 Mar 1991,297.5572
10.5,5,0000 1 Mar 1991,297.5988
1.5,6,0000 1 Mar 1991,300.0998
2.5,6,0000 1 Mar 1991,299.7232
3.5,6,0000 1 Mar 1991,299.0078
4.5,6,0000 1 Mar 1991,298.213
5.5,6,0000 1 Mar 1991,297.559
6.5,6,0000 1 Mar 1991,297.2357
7.5,6,0000 1 Mar 1991,297.0847
8.5,6,0000 1 Mar 1991,296.9843
9.5,6,0000 1 Mar 1991,297.0694
10.5,6,0000 1 Mar 1991,297.2901
1.5,7,0000 1 Mar 1991,300.5146
2.5,7,0000 1 Mar 1991,300.469
3.5,7,0000 1 Mar 1991,300.0219
4.5,7,0000 1 Mar 1991,299.2469
5.5,7,0000 1 Mar 1991,298.4145
6.5,7,0000 1 Mar 1991,297.9344
7.5,7,0000 1 Mar 1991,297.5697
8.5,7,0000 1 Mar 1991,297.3204
9.5,7,0000 1 Mar 1991,297.0857
10.5,7,0000 1 Mar 1991,297.1525
1.5,8,0000 1 Mar 1991,300.2923
2.5,8,0000 1 Mar 1991,300.1558
3.5,8,0000 1 Mar 1991,299.8398
4.5,8,0000 1 Mar 1991,299.3102
5.5,8,0000 1 Mar 1991,298.7284
6.5,8,0000 1 Mar 1991,298.3087
7.5,8,0000 1 Mar 1991,298.1477
8.5,8,0000 1 Mar 1991,298.114
9.5,8,0000 1 Mar 1991,298.0474
10.5,8,0000 1 Mar 1991,298.0141
1.5,9,0000 1 Mar 1991,300.3773
2.5,9,0000 1 Mar 1991,300.2459
3.5,9,0000 1 Mar 1991,299.8858
4.5,9,0000 1 Mar 1991,299.3697
5.5,9,0000 1 Mar 1991,298.8399
6.5,9,0000 1 Mar 1991,298.4258
7.5,9,0000 1 Mar 1991,298.2684
8.5,9,0000 1 Mar 1991,298.1209
9.5,9,0000 1 Mar 1991,297.9037
10.5,9,0000 1 Mar 1991,297.6591
1.5,10,0000 1 Mar 1991,300.457
2.5,10,0000 1 Mar 1991,300.2489
3.5,10,0000 1 Mar 1991,299.5124
4.5,10,0000 1 Mar 1991,298.7177
5.5,10,0000 1 Mar 1991,298.1203
6.5,10,0000 1 Mar 1991,297.9962
7.5,10,0000 1 Mar 1991,297.9288
8.5,10,0000 1 Mar 1991,297.8886
9.5,10,0000 1 Mar 1991,297.8374
10.5,10,0000 1 Mar 1991,297.787
1.5,11,0000 1 Mar 1991,300.2999
2.5,11,0000 1 Mar 1991,300.0635
3.5,11,0000 1 Mar 1991,299.4758
