L,MON,LDC_SST_CanCM4i_IC3
2.5,0000 1 May 1995,298.8015
3.5,0000 1 May 1995,297.9039
4.5,0000 1 May 1995,297.4909
5.5,0000 1 May 1995,297.5744
6.5,0000 1 May 1995,297.7921
7.5,0000 1 May 1995,297.9133
8.5,0000 1 May 1995,298.0089
9.5,0000 1 May 1995,298.1857
10.5,0000 1 May 1995,298.6754
1.5,0000 1 Jun 1995,299.2716
2.5,0000 1 Jun 1995,298.3446
3.5,0000 1 Jun 1995,297.8927
4.5,0000 1 Jun 1995,297.899
5.5,0000 1 Jun 1995,298.0654
6.5,0000 1 Jun 1995,298.1748
7.5,0000 1 Jun 1995,298.2319
8.5,0000 1 Jun 1995,298.3
9.5,0000 1 Jun 1995,298.6826
10.5,0000 1 Jun 1995,299.2685
1.5,0000 1 Jul 1995,298.9678
2.5,0000 1 Jul 1995,298.3047
3.5,0000 1 Jul 1995,298.2084
4.5,0000 1 Jul 1995,298.3905
5.5,0000 1 Jul 1995,298.5319
6.5,0000 1 Jul 1995,298.5344
7.5,0000 1 Jul 1995,298.5209
8.5,0000 1 Jul 1995,298.8015
9.5,0000 1 Jul 1995,299.3884
10.5,0000 1 Jul 1995,299.9268
1.5,0000 1 Aug 1995,298.3705
2.5,0000 1 Aug 1995,297.9373
3.5,0000 1 Aug 1995,297.9902
4.5,0000 1 Aug 1995,298.0426
5.5,0000 1 Aug 1995,298.0417
6.5,0000 1 Aug 1995,298.0744
7.5,0000 1 Aug 1995,298.4407
8.5,0000 1 Aug 1995,299.1123
9.5,0000 1 Aug 1995,299.7151
10.5,0000 1 Aug 1995,299.8466
1.5,0000 1 Sep 1995,298.3149
2.5,0000 1 Sep 1995,298.0669
3.5,0000 1 Sep 1995,297.939
4.5,0000 1 Sep 1995,297.7888
5.5,0000 1 Sep 1995,297.7098
6.5,0000 1 Sep 1995,297.9947
7.5,0000 1 Sep 1995,298.6254
8.5,0000 1 Sep 1995,299.1995
9.5,0000 1 Sep 1995,299.3108
10.5,0000 1 Sep 1995,298.8954
1.5,0000 1 Oct 1995,298.1396
2.5,0000 1 Oct 1995,297.8673
3.5,0000 1 Oct 1995,297.6564
4.5,0000 1 Oct 1995,297.5735
5.5,0000 1 Oct 1995,297.8811
6.5,0000 1 Oct 1995,298.5354
7.5,0000 1 Oct 1995,299.123
8.5,0000 1 Oct 1995,299.2302
9.5,0000 1 Oct 1995,298.851
10.5,0000 1 Oct 1995,298.4305
1.5,0000 1 Nov 1995,297.9439
2.5,0000 1 Nov 1995,297.5178
3.5,0000 1 Nov 1995,297.3045
4.5,0000 1 Nov 1995,297.5746
5.5,0000 1 Nov 1995,298.2127
6.5,0000 1 Nov 1995,298.8078
7.5,0000 1 Nov 1995,298.9181
8.5,0000 1 Nov 1995,298.6105
9.5,0000 1 Nov 1995,298.2546
10.5,0000 1 Nov 1995,298.1339
1.5,0000 1 Dec 1995,298.288
2.5,0000 1 Dec 1995,298.2952
3.5,0000 1 Dec 1995,298.6543
4.5,0000 1 Dec 1995,299.2953
5.5,0000 1 Dec 1995,299.8847
6.5,0000 1 Dec 1995,300.0494
7.5,0000 1 Dec 1995,299.6958
8.5,0000 1 Dec 1995,299.2174
9.5,0000 1 Dec 1995,298.9742
10.5,0000 1 Dec 1995,299.0529
1.5,0000 1 Jan 1996,299.1231
2.5,0000 1 Jan 1996,299.5054
3.5,0000 1 Jan 1996,299.9635
4.5,0000 1 Jan 1996,300.3371
5.5,0000 1 Jan 1996,300.3317
6.5,0000 1 Jan 1996,299.7971
7.5,0000 1 Jan 1996,299.1012
8.5,0000 1 Jan 1996,298.6396
9.5,0000 1 Jan 1996,298.5796
10.5,0000 1 Jan 1996,298.7017
1.5,0000 1 Feb 1996,299.558
2.5,0000 1 Feb 1996,300.0923
3.5,0000 1 Feb 1996,300.481
4.5,0000 1 Feb 1996,300.5079
5.5,0000 1 Feb 1996,300.0648
6.5,0000 1 Feb 1996,299.4229
7.5,0000 1 Feb 1996,298.9702
8.5,0000 1 Feb 1996,298.8791
9.5,0000 1 Feb 1996,298.9906
10.5,0000 1 Feb 1996,299.0401
1.5,0000 1 Mar 1996,300.6283
2.5,0000 1 Mar 1996,301.0562
3.5,0000 1 Mar 1996,301.0034
4.5,0000 1 Mar 1996,300.5139
5.5,0000 1 Mar 1996,299.924
6.5,0000 1 Mar 1996,299.5614
7.5,0000 1 Mar 1996,299.5867
8.5,0000 1 Mar 1996,299.7767
9.5,0000 1 Mar 1996,299.8621
10.5,0000 1 Mar 1996,299.7855
1.5,0000 1 Apr 1996,300.5864
2.5,0000 1 Apr 1996,300.368
3.5,0000 1 Apr 1996,299.7344
4.5,0000 1 Apr 1996,299.0004
5.5,0000 1 Apr 1996,298.5097
6.5,0000 1 Apr 1996,298.4335
7.5,0000 1 Apr 1996,298.5531
8.5,0000 1 Apr 1996,298.6279
9.5,0000 1 Apr 1996,298.6559
10.5,0000 1 Apr 1996,298.7815
1.5,0000 1 May 1996,299.9656
2.5,0000 1 May 1996,299.1725
3.5,0000 1 May 1996,298.3704
4.5,0000 1 May 1996,297.8674
5.5,0000 1 May 1996,297.8103
6.5,0000 1 May 1996,297.9406
7.5,0000 1 May 1996,298.0665
8.5,0000 1 May 1996,298.1797
9.5,0000 1 May 1996,298.3733
10.5,0000 1 May 1996,298.8519
1.5,0000 1 Jun 1996,299.3531
2.5,0000 1 Jun 1996,298.4506
3.5,0000 1 Jun 1996,297.8459
4.5,0000 1 Jun 1996,297.7853
5.5,0000 1 Jun 1996,297.907
6.5,0000 1 Jun 1996,298.008
7.5,0000 1 Jun 1996,298.0822
8.5,0000 1 Jun 1996,298.2852
9.5,0000 1 Jun 1996,298.7832
10.5,0000 1 Jun 1996,299.4907
1.5,0000 1 Jul 1996,298.7116
2.5,0000 1 Jul 1996,297.9413
3.5,0000 1 Jul 1996,297.7658
4.5,0000 1 Jul 1996,297.9063
5.5,0000 1 Jul 1996,297.9905
6.5,0000 1 Jul 1996,298.0357
7.5,0000 1 Jul 1996,298.2174
8.5,0000 1 Jul 1996,298.72
9.5,0000 1 Jul 1996,299.4897
