L,MON,LDC_SST_COLA_CESM1,LDC_SST_COLA_CESM1_ONETWO,LDC_SST_COLA_CESM1_THREE,LDC_SST_COLA_CESM1_FOUR
7.5,0000 1 Apr 1993,25.68497,21.12283,24.14791,27.74363
8.5,0000 1 Apr 1993,25.80603,22.1096,24.54909,27.72106
9.5,0000 1 Apr 1993,25.92515,23.3094,25.0403,27.61698
10.5,0000 1 Apr 1993,26.21988,24.36868,25.59319,27.57292
1.5,0000 1 May 1993,27.99534,22.67835,26.55868,29.02446
2.5,0000 1 May 1993,27.11028,21.39824,25.22126,28.87182
3.5,0000 1 May 1993,26.06587,20.47437,24.0709,28.41861
4.5,0000 1 May 1993,25.32143,20.10013,23.51345,27.86799
5.5,0000 1 May 1993,25.06918,20.26813,23.42495,27.49349
6.5,0000 1 May 1993,25.12972,20.85589,23.63587,27.39977
7.5,0000 1 May 1993,25.28925,21.83593,24.02875,27.43386
8.5,0000 1 May 1993,25.4681,23.09578,24.55449,27.42509
9.5,0000 1 May 1993,25.74484,24.27972,25.13126,27.40785
10.5,0000 1 May 1993,26.20373,24.96145,25.78096,27.49262
1.5,0000 1 Jun 1993,25.84274,21.05399,24.1974,28.20243
2.5,0000 1 Jun 1993,24.43977,20.1308,22.82522,27.37455
3.5,0000 1 Jun 1993,23.5971,19.7494,22.19505,26.5973
4.5,0000 1 Jun 1993,23.42211,19.87042,22.15489,26.20948
5.5,0000 1 Jun 1993,23.54261,20.39873,22.4174,26.06233
6.5,0000 1 Jun 1993,23.72125,21.33046,22.89255,25.92706
7.5,0000 1 Jun 1993,23.99664,22.59578,23.56677,25.81659
8.5,0000 1 Jun 1993,24.45857,23.82573,24.30146,25.89541
9.5,0000 1 Jun 1993,25.10795,24.59545,25.06557,26.20342
10.5,0000 1 Jun 1993,25.83289,24.60731,25.72511,26.6792
1.5,0000 1 Jul 1993,25.26626,20.25709,23.5006,27.83613
2.5,0000 1 Jul 1993,24.13333,19.8811,22.55076,27.04539
3.5,0000 1 Jul 1993,23.66112,19.93311,22.27654,26.54887
4.5,0000 1 Jul 1993,23.54995,20.39332,22.40528,26.26779
5.5,0000 1 Jul 1993,23.61473,21.19483,22.80235,25.96582
6.5,0000 1 Jul 1993,23.76926,22.35872,23.42885,25.65714
7.5,0000 1 Jul 1993,24.2226,23.51648,24.17763,25.6037
8.5,0000 1 Jul 1993,24.93325,24.2289,24.98903,25.87794
9.5,0000 1 Jul 1993,25.698,24.18228,25.63193,26.36427
10.5,0000 1 Jul 1993,26.21892,23.4282,25.85147,26.88786
1.5,0000 1 Aug 1993,25.23473,19.9943,23.41154,27.924
2.5,0000 1 Aug 1993,24.6523,20.18628,22.96267,27.56208
3.5,0000 1 Aug 1993,24.4617,20.66504,22.97568,27.3805
4.5,0000 1 Aug 1993,24.50062,21.4359,23.32539,27.21313
5.5,0000 1 Aug 1993,24.64615,22.53037,23.90328,26.9423
6.5,0000 1 Aug 1993,24.9475,23.67692,24.59927,26.74634
7.5,0000 1 Aug 1993,25.51427,24.3452,25.33926,26.82503
8.5,0000 1 Aug 1993,26.20628,24.19686,25.94873,27.19009
9.5,0000 1 Aug 1993,26.74423,23.41692,26.18718,27.65129
10.5,0000 1 Aug 1993,26.87347,22.39068,25.89778,27.96622
1.5,0000 1 Sep 1993,25.98774,20.53719,24.12436,28.34929
2.5,0000 1 Sep 1993,25.65672,21.05664,23.99109,28.14806
3.5,0000 1 Sep 1993,25.4237,21.80001,24.07369,27.98383
4.5,0000 1 Sep 1993,25.35917,22.69988,24.39643,27.78708
5.5,0000 1 Sep 1993,25.54664,23.63753,24.90285,27.64733
6.5,0000 1 Sep 1993,26.01924,24.18674,25.56912,27.68827
7.5,0000 1 Sep 1993,26.66473,24.07386,26.18175,27.95128
8.5,0000 1 Sep 1993,27.2023,23.37232,26.45361,28.31183
9.5,0000 1 Sep 1993,27.33603,22.45947,26.15911,28.55951
10.5,0000 1 Sep 1993,26.92833,21.53465,25.43672,28.49932
1.5,0000 1 Oct 1993,26.19937,20.86009,24.65033,28.24507
2.5,0000 1 Oct 1993,25.73307,21.62046,24.45893,27.91893
3.5,0000 1 Oct 1993,25.35505,22.35242,24.35114,27.59804
4.5,0000 1 Oct 1993,25.31846,23.00822,24.53482,27.36726
5.5,0000 1 Oct 1993,25.64956,23.33092,24.95316,27.34937
6.5,0000 1 Oct 1993,26.17293,23.07184,25.43872,27.54964
7.5,0000 1 Oct 1993,26.5516,22.28833,25.60674,27.8022
8.5,0000 1 Oct 1993,26.5063,21.27629,25.21318,27.87457
9.5,0000 1 Oct 1993,26.00537,20.36919,24.42436,27.61592
10.5,0000 1 Oct 1993,25.28524,19.75021,23.59246,27.14977
