M,L,MON,LDC_SST_NCEP_CFSv2
20,3.5,0000 1 Mar 1991,28.13725
21,3.5,0000 1 Mar 1991,28.52985
22,3.5,0000 1 Mar 1991,28.0771
23,3.5,0000 1 Mar 1991,28.16815
24,3.5,0000 1 Mar 1991,28.05658
1,4.5,0000 1 Mar 1991,26.32334
2,4.5,0000 1 Mar 1991,26.877
3,4.5,0000 1 Mar 1991,26.35028
4,4.5,0000 1 Mar 1991,27.15798
5,4.5,0000 1 Mar 1991,27.41315
6,4.5,0000 1 Mar 1991,27.02246
7,4.5,0000 1 Mar 1991,27.80444
8,4.5,0000 1 Mar 1991,26.75296
9,4.5,0000 1 Mar 1991,27.37926
10,4.5,0000 1 Mar 1991,27.20955
11,4.5,0000 1 Mar 1991,28.32873
12,4.5,0000 1 Mar 1991,26.9092
13,4.5,0000 1 Mar 1991,27.96188
14,4.5,0000 1 Mar 1991,27.62677
15,4.5,0000 1 Mar 1991,28.10334
16,4.5,0000 1 Mar 1991,27.37266
17,4.5,0000 1 Mar 1991,28.54655
18,4.5,0000 1 Mar 1991,28.04823
19,4.5,0000 1 Mar 1991,27.52963
20,4.5,0000 1 Mar 1991,27.87512
21,4.5,0000 1 Mar 1991,27.94043
22,4.5,0000 1 Mar 1991,27.36235
23,4.5,0000 1 Mar 1991,27.68636
24,4.5,0000 1 Mar 1991,27.41024
1,5.5,0000 1 Mar 1991,25.45292
2,5.5,0000 1 Mar 1991,26.11703
3,5.5,0000 1 Mar 1991,25.54179
4,5.5,0000 1 Mar 1991,26.58426
5,5.5,0000 1 Mar 1991,26.559
6,5.5,0000 1 Mar 1991,26.35618
7,5.5,0000 1 Mar 1991,27.24424
8,5.5,0000 1 Mar 1991,25.8562
9,5.5,0000 1 Mar 1991,26.80367
10,5.5,0000 1 Mar 1991,26.51511
11,5.5,0000 1 Mar 1991,28.12722
12,5.5,0000 1 Mar 1991,26.31927
13,5.5,0000 1 Mar 1991,27.59811
14,5.5,0000 1 Mar 1991,27.02775
15,5.5,0000 1 Mar 1991,27.53708
16,5.5,0000 1 Mar 1991,26.78295
17,5.5,0000 1 Mar 1991,28.36655
18,5.5,0000 1 Mar 1991,27.28798
19,5.5,0000 1 Mar 1991,26.87378
20,5.5,0000 1 Mar 1991,27.63261
21,5.5,0000 1 Mar 1991,27.43335
22,5.5,0000 1 Mar 1991,26.56409
23,5.5,0000 1 Mar 1991,27.04336
24,5.5,0000 1 Mar 1991,26.64064
1,6.5,0000 1 Mar 1991,25.06863
2,6.5,0000 1 Mar 1991,25.69184
3,6.5,0000 1 Mar 1991,25.12282
4,6.5,0000 1 Mar 1991,26.02422
5,6.5,0000 1 Mar 1991,25.98013
6,6.5,0000 1 Mar 1991,26.06892
7,6.5,0000 1 Mar 1991,26.93773
8,6.5,0000 1 Mar 1991,25.32789
9,6.5,0000 1 Mar 1991,26.641
10,6.5,0000 1 Mar 1991,26.33301
11,6.5,0000 1 Mar 1991,28.20076
12,6.5,0000 1 Mar 1991,26.15848
